classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
tench,26,"['gar fish', 'terrapin', 'crayfish', 'scottish deerhound', 'longhorn beetle']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000016,0.3399999999999999,0.515,0.34,0.001,0.428,0,0,1285
goldfish,11,"['american lobster', 'axolotl', 'crayfish', 'stingray', 'smooth newt']","[0.08, 0.06, 0.06, 0.02, 0.02]",-0.1111111111111108,0.64,0.427,0.64,0.002,0.534,1,1,1286
great white shark,10,"['tiger shark', 'hammerhead shark', 'jellyfish', 'axolotl', 'triceratops']","[0.12, 0.08, 0.06, 0.02, 0.02]",0.3513641844631532,0.5999999999999999,0.37,0.6,0.002,0.485,2,2,1278
tiger shark,11,"['great white shark', 'hammerhead shark', 'stingray', 'jellyfish', 'dugong']","[0.18, 0.1, 0.06, 0.06, 0.04]",1.0038803488549688,0.44,0.423,0.44,0.001,0.432,3,3,1281
hammerhead shark,16,"['tiger shark', 'jellyfish', 'stingray', 'great white shark', 'electric ray']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.4799999999999999,0.429,0.48,0.001,0.454,4,4,1284
electric ray,24,"['jellyfish', 'stingray', 'goldfish', 'great white shark', 'brain coral']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.26,0.171,0.26,0.002,0.216,5,5,1277
stingray,17,"['electric ray', 'tiger shark', 'jellyfish', 'great white shark', 'hammerhead shark']","[0.22, 0.06, 0.06, 0.02, 0.02]",1.286470061706138,0.38,0.183,0.38,0.002,0.282,6,6,1274
rooster,14,"['hen', 'centipede', 'black grouse', 'prairie grouse', 'african grey parrot']","[0.26, 0.02, 0.02, 0.02, 0.02]",1.499999999999999,0.48,0.32,0.48,0.002,0.4,7,7,1287
hen,20,"['rooster', 'komondor', 'badger', 'ostrich', 'american dipper']","[0.18, 0.04, 0.04, 0.02, 0.02]",1.4191014536126718,0.4,0.208,0.4,0.002,0.304,8,8,1283
ostrich,15,"['african wild dog', 'mongoose', 'hen', 'wallaby', 'black stork']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.6,0.517,0.6,0.001,0.558,9,9,1280
brambling,14,"['american robin', 'ruddy turnstone', 'house finch', 'quail', 'fox squirrel']","[0.1999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",1.428626733433829,0.3399999999999999,0.436,0.34,0.001,0.388,10,10,1282
goldfinch,12,"['brambling', 'bulbul', 'bee eater', 'house finch', 'hummingbird']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.5999999999999999,0.769,0.6,0.001,0.684,11,11,1293
house finch,15,"['american robin', 'bulbul', 'hen', 'brambling', 'kite bird of prey']","[0.12, 0.06, 0.04, 0.04, 0.04]",1.2909944487358058,0.5,0.543,0.5,0.001,0.522,12,12,1281
junco,9,"['american robin', 'brambling', 'bulbul', 'chickadee', 'quail']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.04]",1.3627927530355548,0.5999999999999999,0.588,0.6,0.001,0.594,13,13,1285
indigo bunting,13,"['jay', 'magpie', 'bee eater', 'birdhouse', 'goldfinch']","[0.22, 0.04, 0.04, 0.04, 0.02]",1.458054813315981,0.4800000000000001,0.6,0.48,0.001,0.54,14,14,1281
american robin,15,"['brambling', 'house finch', 'junco', 'bald eagle', 'jay']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.3714193236627636e-15,0.5999999999999998,0.24,0.6,0.003,0.42,15,15,1288
bulbul,14,"['american robin', 'house finch', 'hummingbird', 'junco', 'jay']","[0.2799999999999999, 0.08, 0.08, 0.04, 0.04]",1.353275177302593,0.26,0.295,0.26,0.001,0.277,16,16,1285
jay,10,"['american robin', 'bulbul', 'indigo bunting', 'goldfinch', 'chickadee']","[0.1, 0.06, 0.04, 0.02, 0.02]",0.7301958930821588,0.66,0.471,0.66,0.001,0.566,17,17,1284
magpie,19,"['american robin', 'jay', 'bald eagle', 'hen', 'bulbul']","[0.1399999999999999, 0.08, 0.08, 0.04, 0.04]",0.6858276550274035,0.2799999999999999,0.519,0.28,0.001,0.4,18,18,1285
chickadee,12,"['junco', 'american robin', 'bulbul', 'jay', 'goldfinch']","[0.18, 0.16, 0.1399999999999999, 0.08, 0.02]",-0.5692290289523124,0.2799999999999999,0.636,0.28,0.0,0.458,19,19,1285
american dipper,13,"['american robin', 'ruddy turnstone', 'water snake', 'stingray', 'chickadee']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.6200000000000001,0.477,0.62,0.001,0.548,20,20,1288
kite bird of prey,19,"['bald eagle', 'american robin', 'vulture', 'hen', 'jay']","[0.1599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.3933319214743292,0.4399999999999999,0.286,0.44,0.002,0.363,21,21,1288
bald eagle,9,"['kite bird of prey', 'hen', 'magpie', 'vulture', 'black grouse']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.7799999999999998,0.375,0.78,0.002,0.578,22,22,1283
vulture,24,"['bald eagle', 'ostrich', 'kite bird of prey', 'rooster', 'great grey owl']","[0.2, 0.06, 0.06, 0.04, 0.04]",1.4191014536126714,0.18,0.321,0.18,0.001,0.25,23,23,1286
great grey owl,5,"['kite bird of prey', 'frilled necked lizard', 'european garden spider', 'groenendael dog', 'spider web']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.759,0.88,0.001,0.82,24,24,1284
fire salamander,11,"['spotted salamander', 'yellow garden spider', 'smooth newt', 'scorpion', 'longhorn beetle']","[0.1, 0.08, 0.06, 0.04, 0.04]",0.3631734744194304,0.54,0.562,0.54,0.001,0.551,25,25,1291
smooth newt,28,"['newt', 'banded gecko', 'desert grassland whiptail lizard', 'centipede', 'rock crab']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.32,0.225,0.32,0.001,0.272,26,26,1282
newt,16,"['smooth newt', 'rock crab', 'scorpion', 'ant', 'hermit crab']","[0.1399999999999999, 0.1, 0.06, 0.06, 0.04]",0.6288941186718147,0.38,0.235,0.38,0.002,0.308,27,27,1287
spotted salamander,25,"['ant', 'fire salamander', 'smooth newt', 'longhorn beetle', 'agama']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",-1.012493172547901e-15,0.2799999999999999,0.341,0.28,0.001,0.31,28,28,1288
axolotl,24,"['hermit crab', 'snail', 'crayfish', 'badger', 'fire salamander']","[0.06, 0.04, 0.04, 0.04, 0.02]",3.4285483091569353e-16,0.42,0.262,0.42,0.002,0.341,29,29,1277
american bullfrog,18,"['tailed frog', 'mud turtle', 'axolotl', 'desert grassland whiptail lizard', 'alligator lizard']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.04]",1.3627927530355548,0.4000000000000001,0.328,0.4,0.001,0.364,30,30,1283
tree frog,17,"['american bullfrog', 'smooth newt', 'european green lizard', 'vine snake', 'cockroach']","[0.2, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.4,0.244,0.4,0.002,0.322,31,31,1292
tailed frog,29,"['american bullfrog', 'smooth newt', 'tree frog', 'alligator lizard', 'rock crab']","[0.1399999999999999, 0.12, 0.06, 0.06, 0.06]",0.5071295169770309,0.08,0.093,0.08,0.001,0.086,32,32,1281
loggerhead sea turtle,26,"['mud turtle', 'spiny lobster', 'stingray', 'sea lion', 'great white shark']","[0.08, 0.08, 0.04, 0.04, 0.02]",0.1111111111111111,0.32,0.39,0.32,0.001,0.355,33,33,1290
leatherback sea turtle,30,"['green iguana', 'loggerhead sea turtle', 'jellyfish', 'agama', 'gila monster']","[0.12, 0.06, 0.06, 0.04, 0.04]",1.1642636431747198,0.1399999999999999,0.368,0.14,0.0,0.254,34,34,1282
mud turtle,30,"['terrapin', 'box turtle', 'trilobite', 'cockroach', 'axolotl']","[0.08, 0.06, 0.06, 0.06, 0.04]",-8.678512907553492e-16,0.1399999999999999,0.083,0.14,0.002,0.112,35,35,1277
terrapin,22,"['mud turtle', 'box turtle', 'american alligator', 'trilobite', 'loggerhead sea turtle']","[0.2, 0.08, 0.06, 0.06, 0.04]",1.321086967875272,0.16,0.116,0.16,0.001,0.138,36,36,1286
box turtle,15,"['terrapin', 'cockroach', 'trilobite', 'mud turtle', 'frilled necked lizard']","[0.1399999999999999, 0.1199999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",0.1527442975595472,0.3199999999999999,0.291,0.32,0.001,0.306,37,37,1284
banded gecko,28,"['desert grassland whiptail lizard', 'axolotl', 'spotted salamander', 'frilled necked lizard', 'centipede']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.24,0.214,0.24,0.001,0.227,38,38,1282
green iguana,16,"['frilled necked lizard', 'mud turtle', 'agama', 'european green lizard', 'box turtle']","[0.1, 0.04, 0.04, 0.04, 0.02]",1.1731251294063554,0.5400000000000001,0.147,0.54,0.004,0.344,39,39,1287
carolina anole,20,"['european green lizard', 'tree frog', 'vine snake', 'green iguana', 'agama']","[0.22, 0.1399999999999999, 0.08, 0.04, 0.04]",0.6629571364092476,0.12,0.171,0.12,0.001,0.146,40,40,1280
desert grassland whiptail lizard,23,"['agama', 'alligator lizard', 'scorpion', 'night snake', 'wolf spider']","[0.1399999999999999, 0.06, 0.06, 0.04, 0.04]",1.286470061706137,0.26,0.104,0.26,0.003,0.182,41,41,1283
agama,19,"['desert grassland whiptail lizard', 'frilled necked lizard', 'green iguana', 'smooth newt', 'brambling']","[0.12, 0.1, 0.08, 0.04, 0.02]",-0.1579875514375962,0.36,0.159,0.36,0.002,0.26,42,42,1281
frilled necked lizard,19,"['green iguana', 'agama', 'nile crocodile', 'armadillo', 'newt']","[0.16, 0.06, 0.04, 0.04, 0.02]",1.2621071358631282,0.4000000000000001,0.159,0.4,0.003,0.28,43,43,1107
alligator lizard,31,"['desert grassland whiptail lizard', 'green iguana', 'agama', 'indian cobra', 'stick insect']","[0.18, 0.06, 0.04, 0.04, 0.04]",1.4286267334338287,0.08,0.091,0.08,0.001,0.085,44,44,1285
gila monster,26,"['green iguana', 'agama', 'boa constrictor', 'badger', 'tailed frog']","[0.06, 0.06, 0.06, 0.04, 0.02]",-0.8437500000000006,0.34,0.193,0.34,0.002,0.266,45,45,1286
european green lizard,21,"['agama', 'vine snake', 'carolina anole', 'tree frog', 'stick insect']","[0.1, 0.1, 0.08, 0.06, 0.06]",-9.697399036122157e-16,0.2,0.159,0.2,0.001,0.18,46,46,1286
chameleon,22,"['agama', 'desert grassland whiptail lizard', 'cicada', 'green iguana', 'carolina anole']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.34,0.548,0.34,0.001,0.444,47,47,1286
komodo dragon,15,"['green iguana', 'nile crocodile', 'frilled necked lizard', 'desert grassland whiptail lizard', 'gila monster']","[0.16, 0.08, 0.06, 0.04, 0.04]",1.1210847078122883,0.4,0.444,0.4,0.001,0.422,48,48,1285
nile crocodile,21,"['green iguana', 'american alligator', 'water snake', 'saharan horned viper', 'hyena']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.3799999999999999,0.25,0.38,0.002,0.315,49,49,1291
american alligator,25,"['nile crocodile', 'green iguana', 'mud turtle', 'desert grassland whiptail lizard', 'komodo dragon']","[0.1399999999999999, 0.1199999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4692912730377017,0.1599999999999999,0.129,0.16,0.001,0.145,50,50,1278
triceratops,19,"['badger', 'tailed frog', 'loggerhead sea turtle', 'green iguana', 'desert grassland whiptail lizard']","[0.1, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.54,0.31,0.54,0.002,0.425,51,51,1250
worm snake,30,"['alligator lizard', 'agama', 'ring necked snake', 'water snake', 'night snake']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.22,0.216,0.22,0.001,0.218,52,52,1285
ring necked snake,35,"['indian cobra', 'eastern hog nosed snake', 'trilobite', 'scorpion', 'newt']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",-1.012493172547901e-15,0.0799999999999999,0.2,0.08,0.0,0.14,53,53,1284
eastern hog nosed snake,32,"['gila monster', 'trilobite', 'banded gecko', 'agama', 'frilled necked lizard']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.0999999999999999,0.106,0.1,0.001,0.103,54,54,1278
smooth green snake,19,"['green mamba', 'vine snake', 'european green lizard', 'tree frog', 'centipede']","[0.2799999999999999, 0.16, 0.1, 0.08, 0.04]",0.7935019592244944,0.06,0.083,0.06,0.001,0.072,55,55,1271
kingsnake,31,"['badger', 'banded gecko', 'boa constrictor', 'cockroach', 'desert grassland whiptail lizard']","[0.1, 0.06, 0.06, 0.06, 0.04]",0.8675276172357085,0.12,0.182,0.12,0.001,0.151,56,56,1290
garter snake,25,"['desert grassland whiptail lizard', 'green iguana', 'mud turtle', 'gila monster', 'eastern hog nosed snake']","[0.1199999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.2909944487358056,0.2199999999999999,0.289,0.22,0.001,0.254,57,57,1279
water snake,28,"['american bullfrog', 'desert grassland whiptail lizard', 'komodo dragon', 'badger', 'newt']","[0.1, 0.08, 0.06, 0.06, 0.04]",0.2715454178836392,0.16,0.186,0.16,0.001,0.173,58,58,1285
vine snake,25,"['tree frog', 'smooth green snake', 'green mamba', 'carolina anole', 'european green lizard']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.2799999999999999,0.184,0.28,0.002,0.232,59,59,1281
night snake,32,"['frilled necked lizard', 'saharan horned viper', 'boa constrictor', 'green iguana', 'american alligator']","[0.08, 0.08, 0.06, 0.04, 0.04]",-6.136635327546054e-16,0.1,0.065,0.1,0.002,0.082,60,60,1286
boa constrictor,35,"['night snake', 'eastern diamondback rattlesnake', 'cockroach', 'gila monster', 'chameleon']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.08,0.045,0.08,0.002,0.062,61,61,1286
african rock python,31,"['desert grassland whiptail lizard', 'alligator lizard', 'american alligator', 'worm snake', 'boa constrictor']","[0.08, 0.08, 0.06, 0.06, 0.06]",0.4082482904638608,0.02,0.062,0.02,0.0,0.041,62,62,1061
indian cobra,30,"['frilled necked lizard', 'boa constrictor', 'terrapin', 'loggerhead sea turtle', 'night snake']","[0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.7301958930821604,0.1199999999999999,0.158,0.12,0.001,0.139,63,63,1289
green mamba,19,"['smooth green snake', 'green iguana', 'loggerhead sea turtle', 'vine snake', 'cicada']","[0.2799999999999999, 0.08, 0.06, 0.06, 0.04]",1.4246292542014547,0.2,0.25,0.2,0.001,0.225,64,64,1284
sea snake,26,"['stingray', 'brain coral', 'electric ray', 'banded gecko', 'agama']","[0.08, 0.08, 0.04, 0.04, 0.04]",0.4082482904638644,0.26,0.21,0.26,0.001,0.235,65,65,1288
saharan horned viper,25,"['trilobite', 'hermit crab', 'desert grassland whiptail lizard', 'agama', 'frilled necked lizard']","[0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.2715454178836407,0.1599999999999999,0.163,0.16,0.001,0.162,66,66,1284
eastern diamondback rattlesnake,28,"['badger', 'gila monster', 'alligator lizard', 'saharan horned viper', 'desert grassland whiptail lizard']","[0.12, 0.08, 0.06, 0.06, 0.04]",0.7500308204401281,0.08,0.105,0.08,0.001,0.092,67,67,1286
sidewinder rattlesnake,26,"['saharan horned viper', 'hermit crab', 'banded gecko', 'trilobite', 'gila monster']","[0.16, 0.1, 0.08, 0.08, 0.06]",1.017952296026958,0.02,0.167,0.02,0.0,0.094,68,68,1287
trilobite,17,"['frilled necked lizard', 'snail', 'great grey owl', 'mud turtle', 'gila monster']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.62,0.148,0.62,0.004,0.384,69,69,1280
harvestman,26,"['stick insect', 'sulphur butterfly', 'tick', 'lacewing', 'ringlet butterfly']","[0.1, 0.1, 0.08, 0.06, 0.06]",-9.697399036122157e-16,0.12,0.103,0.12,0.001,0.111,70,70,1286
scorpion,18,"['tick', 'cockroach', 'desert grassland whiptail lizard', 'trilobite', 'wolf spider']","[0.16, 0.08, 0.04, 0.04, 0.04]",1.1500493356615296,0.36,0.124,0.36,0.003,0.242,71,71,1280
yellow garden spider,15,"['european garden spider', 'dragonfly', 'barn spider', 'centipede', 'longhorn beetle']","[0.22, 0.06, 0.04, 0.04, 0.04]",1.4565472846013432,0.36,0.367,0.36,0.001,0.364,72,72,1284
barn spider,22,"['wolf spider', 'harvestman', 'european garden spider', 'southern black widow', 'scorpion']","[0.1399999999999999, 0.1, 0.1, 0.08, 0.06]",0.3700366501636157,0.06,0.058,0.06,0.001,0.059,73,73,1284
european garden spider,18,"['yellow garden spider', 'barn spider', 'southern black widow', 'centipede', 'spider web']","[0.16, 0.1, 0.06, 0.06, 0.06]",1.0269996056981547,0.24,0.126,0.24,0.002,0.183,74,74,1286
southern black widow,22,"['harvestman', 'tiger beetle', 'dragonfly', 'scorpion', 'ladybug']","[0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",-0.4082482904638629,0.3399999999999999,0.215,0.34,0.002,0.278,75,75,1287
tarantula,19,"['wolf spider', 'agama', 'trilobite', 'tick', 'gila monster']","[0.1399999999999999, 0.08, 0.04, 0.04, 0.02]",0.8478566294318485,0.4,0.225,0.4,0.002,0.312,76,76,1282
wolf spider,25,"['barn spider', 'scorpion', 'stick insect', 'harvestman', 'european garden spider']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.24,0.106,0.24,0.002,0.173,77,77,1281
tick,28,"['ant', 'cockroach', 'scorpion', 'barn spider', 'yellow garden spider']","[0.1, 0.1, 0.06, 0.06, 0.04]",0.1111111111111109,0.16,0.049,0.16,0.003,0.105,78,78,1287
centipede,26,"['scorpion', 'isopod', 'badger', 'newt', 'trilobite']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.26,0.14,0.26,0.002,0.2,79,79,1287
black grouse,12,"['coucal', 'hen', 'bald eagle', 'prairie grouse', 'african wild dog']","[0.08, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.6200000000000001,0.66,0.62,0.001,0.64,80,80,1288
ptarmigan,14,"['quail', 'ruffed grouse', 'junco', 'boa constrictor', 'hen']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.02]",1.1701586322559543,0.52,0.703,0.52,0.001,0.611,81,81,1287
ruffed grouse,22,"['quail', 'desert grassland whiptail lizard', 'tarantula', 'partridge', 'cottontail rabbit']","[0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000009,0.3999999999999999,0.465,0.4,0.001,0.432,82,82,1278
prairie grouse,10,"['quail', 'african wild dog', 'badger', 'hare', 'hen']","[0.1, 0.1, 0.06, 0.04, 0.02]",-0.0351562500000004,0.58,0.69,0.58,0.001,0.635,83,83,1285
peafowl,17,"['rooster', 'green iguana', 'agama', 'hen', 'desert grassland whiptail lizard']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.6,0.508,0.6,0.001,0.554,84,84,1285
quail,18,"['ruffed grouse', 'bustard', 'american robin', 'partridge', 'junco']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.52,0.313,0.52,0.002,0.416,85,85,1285
partridge,17,"['quail', 'ruffed grouse', 'american robin', 'prairie grouse', 'hare']","[0.2199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.1524389144206812,0.2999999999999999,0.556,0.3,0.001,0.428,86,86,1276
african grey parrot,9,"['brambling', 'green iguana', 'nile crocodile', 'egyptian mau', 'badger']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.456,0.82,0.002,0.638,87,87,1281
macaw,10,"['rooster', 'peafowl', 'american robin', 'kite bird of prey', 'eastern hog nosed snake']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7600000000000001,0.576,0.76,0.001,0.668,88,88,1282
sulphur crested cockatoo,18,"['hen', 'kite bird of prey', 'treeing walker coonhound', 'rooster', 'bald eagle']","[0.1399999999999999, 0.04, 0.04, 0.02, 0.02]",1.3532751773025922,0.48,0.632,0.48,0.001,0.556,89,89,1287
lorikeet,9,"['macaw', 'american robin', 'house finch', 'indigo bunting', 'quail']","[0.24, 0.06, 0.02, 0.02, 0.02]",1.3857772962152823,0.5599999999999999,0.549,0.56,0.001,0.554,90,90,1282
coucal,28,"['bulbul', 'indigo bunting', 'bald eagle', 'rooster', 'american robin']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.2,0.435,0.2,0.0,0.318,91,91,1278
bee eater,11,"['jacamar', 'goldfinch', 'dragonfly', 'brambling', 'american robin']","[0.1, 0.04, 0.04, 0.02, 0.02]",1.1642636431747195,0.66,0.647,0.66,0.001,0.654,92,92,1281
hornbill,28,"['bald eagle', 'kite bird of prey', 'vulture', 'rooster', 'hen']","[0.18, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.3933319214743296,0.1399999999999999,0.318,0.14,0.0,0.229,93,93,1285
hummingbird,11,"['jacamar', 'american robin', 'house finch', 'kite bird of prey', 'crane bird']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.7200000000000002,0.5,0.72,0.001,0.61,94,94,1284
jacamar,11,"['hummingbird', 'lorikeet', 'goldfinch', 'american robin', 'bald eagle']","[0.1399999999999999, 0.06, 0.02, 0.02, 0.02]",1.1500493356615296,0.62,0.674,0.62,0.001,0.647,95,95,1290
toucan,18,"['hornbill', 'macaw', 'lorikeet', 'american robin', 'house finch']","[0.08, 0.06, 0.06, 0.04, 0.02]",-0.2715454178836395,0.48,0.727,0.48,0.001,0.603,96,96,1290
duck,23,"['rooster', 'red breasted merganser', 'goose', 'dunlin', 'great white shark']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.4,0.645,0.4,0.001,0.522,97,97,1283
red breasted merganser,15,"['dunlin', 'albatross', 'duck', 'american coot', 'ruddy turnstone']","[0.1, 0.08, 0.04, 0.04, 0.04]",0.5929270612815714,0.48,0.6,0.48,0.001,0.54,98,98,1128
goose,25,"['pelican', 'badger', 'rooster', 'hen', 'kite bird of prey']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.2999999999999999,0.405,0.3,0.001,0.353,99,99,1276
black swan,25,"['african grey parrot', 'limpkin', 'ostrich', 'fire salamander', 'red breasted merganser']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4082482904638625,0.3199999999999999,0.889,0.32,0.0,0.604,100,100,1275
tusker,11,"['asian elephant', 'green iguana', 'indian cobra', 'tick', 'giant schnauzer']","[0.18, 0.02, 0.02, 0.02, 0.02]",1.4999999999999998,0.6200000000000001,0.383,0.62,0.002,0.502,101,101,1289
echidna,9,"['porcupine', 'badger', 'marmot', 'hen', 'desert grassland whiptail lizard']","[0.26, 0.2, 0.04, 0.02, 0.02]",0.4973482550950152,0.38,0.826,0.38,0.0,0.603,102,102,1279
platypus,32,"['axolotl', 'badger', 'american dipper', 'american bullfrog', 'treeing walker coonhound']","[0.08, 0.08, 0.04, 0.04, 0.04]",0.4082482904638644,0.1399999999999999,0.333,0.14,0.0,0.237,103,103,1249
wallaby,24,"['badger', 'hyena', 'mexican hairless dog xoloitzcuintli', 'red fox', 'grey fox']","[0.16, 0.12, 0.04, 0.04, 0.04]",0.5929270612815718,0.18,0.191,0.18,0.001,0.186,104,104,1276
koala,19,"['badger', 'ring tailed lemur', 'marmoset', 'titi monkey', 'hen']","[0.2399999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.4093214976585606,0.3199999999999999,0.432,0.32,0.001,0.376,105,105,1291
wombat,25,"['badger', 'grey wolf', 'fox squirrel', 'macaque', 'tarantula']","[0.2799999999999999, 0.04, 0.04, 0.04, 0.02]",1.4761368136253017,0.18,0.191,0.18,0.001,0.186,106,106,1282
jellyfish,19,"['badger', 'rock crab', 'goldfish', 'electric ray', 'tick']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.54,0.208,0.54,0.003,0.374,107,107,1287
sea anemone,16,"['brain coral', 'sea cucumber', 'clownfish', 'axolotl', 'jellyfish']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3436215967445467,0.4799999999999999,0.267,0.48,0.002,0.374,108,108,1283
brain coral,10,"['sea snake', 'sea anemone', 'electric ray', 'desert grassland whiptail lizard', 'smooth green snake']","[0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.4082482904638635,0.7599999999999999,0.268,0.76,0.003,0.514,109,109,1283
flatworm,19,"['sea slug', 'conch', 'spiny lobster', 'hermit crab', 'sea cucumber']","[0.2799999999999999, 0.04, 0.04, 0.04, 0.04]",1.5000000000000004,0.26,0.351,0.26,0.001,0.306,110,110,1284
nematode,21,"['jellyfish', 'vine snake', 'tick', 'car mirror', 'stingray']","[0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.8675276172357081,0.3199999999999999,0.457,0.32,0.001,0.388,111,111,1282
conch,27,"['rock crab', 'hermit crab', 'isopod', 'trilobite', 'scorpion']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.1999999999999999,0.079,0.2,0.003,0.14,112,112,1272
snail,30,"['chiton', 'bee', 'cockroach', 'trilobite', 'conch']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.1999999999999999,0.069,0.2,0.003,0.134,113,113,1282
slug,30,"['newt', 'fiddler crab', 'banded gecko', 'ant', 'smooth newt']","[0.1, 0.08, 0.06, 0.06, 0.04]",0.2715454178836392,0.08,0.045,0.08,0.002,0.062,114,114,1286
sea slug,18,"['flatworm', 'hermit crab', 'lionfish', 'sea cucumber', 'sea anemone']","[0.1, 0.1, 0.1, 0.06, 0.04]",-0.5929270612815716,0.2799999999999999,0.304,0.28,0.001,0.292,115,115,1279
chiton,24,"['trilobite', 'brain coral', 'hermit crab', 'sea cucumber', 'tarantula']","[0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.347767062246995,0.2399999999999999,0.169,0.24,0.001,0.205,116,116,1282
chambered nautilus,19,"['jellyfish', 'badger', 'brain coral', 'conch', 'boa constrictor']","[0.1, 0.08, 0.06, 0.06, 0.04]",0.2715454178836392,0.2999999999999999,0.242,0.3,0.001,0.271,117,117,1279
