classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
zucchini,32,"['slug', 'snail', 'tree frog', 'sea anemone', 'american lobster']","[0.18, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.218120864639941,0.0,0.0,0.0,0.0,0.0,939,939,1173
spaghetti squash,28,"['slug', 'bakery', 'banana', 'butternut squash', 'conch']","[0.08, 0.08, 0.08, 0.06, 0.04]",-0.8437499999999993,0.16,0.381,0.16,0.0,0.27,940,940,1125
acorn squash,35,"['chiton', 'cockroach', 'butternut squash', 'trilobite', 'conch']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.04,0.25,0.04,0.0,0.145,941,941,1183
butternut squash,26,"['conch', 'red king crab', 'bakery', 'carved pumpkin', 'plate']","[0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",-1.4999999999999991,0.2999999999999999,0.259,0.3,0.001,0.279,942,942,1189
cucumber,24,"['tree frog', 'snail', 'slug', 'american lobster', 'guacamole']","[0.1399999999999999, 0.06, 0.06, 0.06, 0.06]",1.4999999999999991,0.1,0.5,0.1,0.0,0.3,943,943,1186
artichoke,25,"['bee', 'snail', 'sea urchin', 'sea anemone', 'conch']","[0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999]",-0.2715454178836406,0.18,0.6,0.18,0.0,0.39,944,944,1156
bell pepper,21,"['tree frog', 'slug', 'american lobster', 'cabbage', 'broccoli']","[0.04, 0.04, 0.04, 0.04, 0.04]",0.0,0.4599999999999999,0.535,0.46,0.001,0.498,945,945,1188
cardoon,17,"['bee', 'sea urchin', 'sea anemone', 'small white butterfly', 'badger']","[0.1399999999999999, 0.1399999999999999, 0.1, 0.08, 0.04]",-0.3513641844631549,0.24,0.857,0.24,0.0,0.548,946,946,1011
mushroom,32,"['agaric', 'bolete', 'newt', 'mud turtle', 'gila monster']","[0.18, 0.08, 0.04, 0.04, 0.04]",1.2332237528390575,0.0,0.0,0.0,0.0,0.0,947,947,0
granny smith apple,19,"['slug', 'fig', 'banana', 'tick', 'cherimoya custard apple']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.4400000000000001,0.759,0.44,0.001,0.6,948,948,1152
strawberry,27,"['pomegranate', 'american lobster', 'sea cucumber', 'trifle', 'mashed potatoes']","[0.1399999999999999, 0.08, 0.06, 0.06, 0.06]",1.2909944487358056,0.08,0.444,0.08,0.0,0.262,949,949,1183
orange,22,"['butternut squash', 'bakery', 'bell pepper', 'pomegranate', 'conch']","[0.2, 0.06, 0.06, 0.06, 0.04]",1.4316972546376363,0.16,0.444,0.16,0.0,0.302,950,950,1171
lemon,23,"['butternut squash', 'orange', 'slug', 'banana', 'bulbul']","[0.1, 0.1, 0.06, 0.06, 0.04]",0.1111111111111109,0.18,0.529,0.18,0.0,0.355,951,951,1180
fig,30,"['conch', 'rock crab', 'american lobster', 'slug', 'hermit crab']","[0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.7301958930821604,0.0999999999999999,0.417,0.1,0.0,0.258,952,952,1148
pineapple,36,"['green iguana', 'cricket insect', 'bee', 'grasshopper', 'cicada']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.0799999999999999,0.235,0.08,0.0,0.158,953,953,1152
banana,31,"['snail', 'slug', 'bakery', 'jackfruit', 'sea anemone']","[0.08, 0.08, 0.06, 0.06, 0.04]",-0.3436215967445463,0.1,0.185,0.1,0.001,0.143,954,954,1162
jackfruit,29,"['green iguana', 'frilled necked lizard', 'chameleon', 'centipede', 'slug']","[0.12, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.18,0.375,0.18,0.0,0.277,955,955,1174
cherimoya custard apple,28,"['cabbage', 'cauliflower', 'cicada', 'tailed frog', 'box turtle']","[0.1399999999999999, 0.08, 0.04, 0.02, 0.02]",0.8095920178218727,0.24,0.387,0.24,0.001,0.314,956,956,1158
pomegranate,23,"['conch', 'snail', 'dungeness crab', 'sea cucumber', 'red panda']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.42,0.477,0.42,0.001,0.448,957,957,1164
hay,24,"['barn', 'wheelbarrow', 'balloon', 'pig', 'badger']","[0.12, 0.08, 0.06, 0.04, 0.04]",0.7301958930821596,0.26,0.765,0.26,0.0,0.512,958,958,1165
carbonara,10,"['red king crab', 'mashed potatoes', 'hamster', 'dungeness crab', 'badger']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.7,0.714,0.7,0.001,0.707,959,959,1178
chocolate syrup,28,"['cockroach', 'bakery', 'mashed potatoes', 'wolf spider', 'red king crab']","[0.12, 0.08, 0.08, 0.06, 0.04]",0.3700366501636191,0.12,0.462,0.12,0.0,0.291,960,960,1181
dough,35,"['bakery', 'mashed potatoes', 'trilobite', 'apiary', 'conch']","[0.1, 0.1, 0.06, 0.06, 0.04]",0.1111111111111109,0.0,0.0,0.0,0.0,0.0,961,961,1175
meatloaf,25,"['mashed potatoes', 'bakery', 'red king crab', 'american lobster', 'badger']","[0.26, 0.1, 0.06, 0.06, 0.04]",1.2945335326098273,0.04,0.4,0.04,0.0,0.22,962,962,1166
pizza,23,"['pot pie', 'bakery', 'mashed potatoes', 'burrito', 'red king crab']","[0.1599999999999999, 0.1199999999999999, 0.0999999999999999, 0.0999999999999999, 0.0599999999999999]",0.1790421686972122,0.0799999999999999,0.5,0.08,0.0,0.29,963,963,1174
pot pie,24,"['red king crab', 'bakery', 'mashed potatoes', 'axolotl', 'conch']","[0.12, 0.12, 0.1, 0.04, 0.04]",-0.2961528510345613,0.1399999999999999,0.219,0.14,0.001,0.18,964,964,1167
burrito,26,"['red king crab', 'hamster', 'dungeness crab', 'hermit crab', 'bakery']","[0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.84375,0.1599999999999999,0.19,0.16,0.001,0.175,965,965,1171
red wine,26,"['wine bottle', 'conch', 'dungeness crab', 'barber chair', 'barrel']","[0.1399999999999999, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.24,0.333,0.24,0.001,0.286,966,966,1168
espresso,21,"['tea cup', 'bakery', 'coffeemaker', 'soup bowl', 'coffee mug']","[0.2, 0.08, 0.06, 0.06, 0.04]",1.321086967875272,0.22,0.611,0.22,0.0,0.416,967,967,1192
tea cup,32,"['bakery', 'coffeemaker', 'red king crab', 'baseball', 'bucket']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.18,0.11,0.18,0.002,0.145,968,968,1163
eggnog,37,"['barrel', 'dungeness crab', 'hamster', 'bakery', 'lotion']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000016,0.0999999999999999,0.2,0.1,0.001,0.15,969,969,1077
mountain,28,"['marmot', 'alaskan malamute', 'great pyrenees dog', 'aircraft carrier', 'balloon']","[0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000009,0.2399999999999999,0.571,0.24,0.0,0.406,970,970,1183
bubble,27,"['balloon', 'jellyfish', 'american lobster', 'wheelbarrow', 'goldfish']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",0.2715454178836398,0.3199999999999999,0.267,0.32,0.001,0.294,971,971,1155
cliff,26,"['alpine ibex', 'agama', 'balloon', 'cliff dwelling', 'green iguana']","[0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.8675276172357081,0.1999999999999999,0.303,0.2,0.001,0.252,972,972,1158
coral reef,17,"['brain coral', 'electric ray', 'lionfish', 'stingray', 'spiny lobster']","[0.48, 0.08, 0.06, 0.04, 0.04]",1.472106222425,0.06,0.5,0.06,0.0,0.28,973,973,1168
geyser,7,"['fiddler crab', 'samoyed', 'alaskan tundra wolf', 'water buffalo', 'amphibious vehicle']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.86,0.827,0.86,0.001,0.843,974,974,1172
lakeshore,35,"['pelican', 'treeing walker coonhound', 'vizsla', 'accordion', 'amphibious vehicle']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.1399999999999999,0.304,0.14,0.0,0.222,975,975,1194
promontory,26,"['cliff', 'sea lion', 'nile crocodile', 'pier', 'lakeshore']","[0.18, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.4286267334338287,0.2199999999999999,0.5,0.22,0.0,0.36,976,976,1176
sandbar,26,"['shipwreck', 'west highland white terrier', 'breakwater', 'snorkel', 'lakeshore']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3436215967445467,0.2599999999999999,0.464,0.26,0.001,0.362,977,977,1174
beach,29,"['balloon', 'sandbar', 'sea lion', 'amphibious vehicle', 'conch']","[0.1, 0.1, 0.06, 0.06, 0.04]",0.1111111111111109,0.06,0.273,0.06,0.0,0.166,978,978,1175
valley,23,"['barn', 'mountain', 'macaque', 'balloon', 'american dipper']","[0.08, 0.08, 0.06, 0.06, 0.04]",-0.3436215967445463,0.2799999999999999,0.636,0.28,0.0,0.458,979,979,1173
volcano,21,"['balloon', 'mountain', 'geyser', 'bison', 'lakeshore']","[0.08, 0.08, 0.08, 0.04, 0.04]",-0.4082482904638626,0.3600000000000001,0.75,0.36,0.0,0.555,980,980,1176
baseball player,14,"['baseball', 'treeing walker coonhound', 'assault rifle', 'boa constrictor', 'papillon']","[0.3, 0.04, 0.04, 0.02, 0.02]",1.474516034247311,0.4000000000000001,0.541,0.4,0.001,0.471,981,981,1179
bridegroom,33,"['accordion', 'treeing walker coonhound', 'norwich terrier', 'asian elephant', 'barbershop']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.2,0.435,0.2,0.0,0.318,982,982,1164
scuba diver,16,"['sea snake', 'stingray', 'hammerhead shark', 'snorkel', 'great white shark']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.02]",1.1701586322559543,0.48,0.615,0.48,0.001,0.548,983,983,1178
rapeseed,8,"['small white butterfly', 'sea anemone', 'dhole', 'american black bear', 'monarch butterfly']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.909,0.8,0.001,0.854,984,984,1158
daisy,8,"['sulphur butterfly', 'bee', 'desert grassland whiptail lizard', 'tarantula', 'sea anemone']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.74,0.949,0.74,0.001,0.844,985,985,1179
yellow ladys slipper,18,"['sulphur butterfly', 'slug', 'vine snake', 'bee', 'banana']","[0.2799999999999999, 0.1, 0.06, 0.06, 0.06]",1.385777296215282,0.1399999999999999,1.0,0.14,0.0,0.57,986,986,1184
corn,36,"['bakery', 'cauliflower', 'european garden spider', 'mashed potatoes', 'bell pepper']","[0.08, 0.08, 0.04, 0.04, 0.04]",0.4082482904638644,0.08,0.222,0.08,0.0,0.151,987,987,1164
acorn,32,"['snail', 'bee', 'cockroach', 'tree frog', 'trilobite']","[0.1399999999999999, 0.1, 0.06, 0.04, 0.04]",0.6122692078855382,0.02,0.083,0.02,0.0,0.052,988,988,1179
rose hip,25,"['pomegranate', 'leaf beetle', 'jackfruit', 'bee', 'red admiral butterfly']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3436215967445467,0.3199999999999999,0.842,0.32,0.0,0.581,989,989,1182
