classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
american bullfrog,8,"['amphibious vehicle', 'green iguana', 'loggerhead sea turtle', 'mud turtle', 'water snake']","[0.2799999999999999, 0.06, 0.02, 0.02, 0.02]",1.4174662558762552,0.54,0.73,0.54,0.001,0.635,30,124
tree frog,11,"['american bullfrog', 'amphibious vehicle', 'carolina anole', 'chameleon', 'vine snake']","[0.08, 0.08, 0.04, 0.04, 0.02]",0.1111111111111111,0.62,0.62,0.62,0.001,0.62,31,251
tailed frog,15,"['amphibious vehicle', 'tree frog', 'oil filter', 'american bullfrog', 'newt']","[0.52, 0.1, 0.08, 0.06, 0.04]",1.4544640019613937,0.0,0.0,0.0,0.0,0.0,32,7
loggerhead sea turtle,10,"['oil filter', 'sea lion', 'mud turtle', 'scuba diver', 'box turtle']","[0.16, 0.06, 0.04, 0.04, 0.02]",1.2621071358631282,0.58,0.387,0.58,0.002,0.484,33,343
leatherback sea turtle,17,"['oil filter', 'loggerhead sea turtle', 'komodo dragon', 'mud turtle', 'hen']","[0.2999999999999999, 0.1399999999999999, 0.06, 0.04, 0.02]",0.999535883062977,0.2,0.909,0.2,0.0,0.554,34,36
mud turtle,10,"['box turtle', 'terrapin', 'loggerhead sea turtle', 'oil filter', 'amphibious vehicle']","[0.22, 0.16, 0.12, 0.1, 0.08]",0.6216348579624366,0.22,0.5,0.22,0.0,0.36,35,96
terrapin,13,"['box turtle', 'loggerhead sea turtle', 'oil filter', 'mud turtle', 'goldfish']","[0.2799999999999999, 0.1399999999999999, 0.08, 0.06, 0.02]",0.8897137656700945,0.26,0.481,0.26,0.001,0.37,36,156
box turtle,5,"['terrapin', 'mud turtle', 'loggerhead sea turtle', 'mushroom', 'bolete']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.8200000000000001,0.554,0.82,0.001,0.687,37,179
banded gecko,15,"['amphibious vehicle', 'oil filter', 'night snake', 'chameleon', 'garter snake']","[0.24, 0.1, 0.04, 0.02, 0.02]",1.1029293035190202,0.38,0.559,0.38,0.001,0.47,38,54
green iguana,6,"['chameleon', 'komodo dragon', 'carolina anole', 'agama', 'rock crab']","[0.12, 0.06, 0.02, 0.02, 0.02]",1.0269996056981547,0.74,0.552,0.74,0.001,0.646,39,361
carolina anole,10,"['european green lizard', 'grasshopper', 'amphibious vehicle', 'newt', 'tree frog']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7400000000000001,0.42,0.74,0.002,0.58,40,229
desert grassland whiptail lizard,7,"['green iguana', 'komodo dragon', 'garter snake', 'hook', 'agama']","[0.04, 0.04, 0.04, 0.04, 0.02]",-1.4999999999999991,0.7800000000000001,0.6,0.78,0.001,0.69,41,207
agama,16,"['komodo dragon', 'chameleon', 'amphibious vehicle', 'desert grassland whiptail lizard', 'oil filter']","[0.18, 0.1, 0.08, 0.06, 0.06]",1.121084707812288,0.2999999999999999,0.789,0.3,0.0,0.544,42,61
frilled necked lizard,14,"['komodo dragon', 'chameleon', 'oil filter', 'green iguana', 'amphibious vehicle']","[0.36, 0.18, 0.12, 0.1, 0.06]",1.036064102606432,0.0,0.0,0.0,0.0,0.0,43,18
alligator lizard,25,"['desert grassland whiptail lizard', 'garter snake', 'komodo dragon', 'centipede', 'oil filter']","[0.12, 0.1, 0.06, 0.06, 0.06]",0.5929270612815702,0.12,0.6,0.12,0.0,0.36,44,60
gila monster,22,"['oil filter', 'komodo dragon', 'kingsnake', 'spotted salamander', 'tailed frog']","[0.1399999999999999, 0.08, 0.06, 0.02, 0.02]",0.6170311182532743,0.34,0.85,0.34,0.0,0.595,45,23
european green lizard,11,"['carolina anole', 'green iguana', 'chameleon', 'grasshopper', 'desert grassland whiptail lizard']","[0.44, 0.1, 0.06, 0.06, 0.04]",1.4396421739278855,0.16,0.571,0.16,0.0,0.366,46,56
chameleon,11,"['oil filter', 'dragonfly', 'green iguana', 'desert grassland whiptail lizard', 'gila monster']","[0.1, 0.06, 0.04, 0.02, 0.02]",0.7301958930821588,0.64,0.421,0.64,0.002,0.53,47,171
komodo dragon,4,"['green iguana', 'oil filter', 'american alligator', 'armadillo']","[0.06, 0.04, 0.02, 0.02]",0.4933822002181591,0.86,0.406,0.86,0.002,0.633,48,258
nile crocodile,12,"['oil filter', 'american alligator', 'tailed frog', 'green iguana', 'water snake']","[0.16, 0.1399999999999999, 0.02, 0.02, 0.02]",0.4379882812500004,0.5000000000000001,0.543,0.5,0.001,0.522,49,559
