classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
border collie,8,"['cocker spaniel', 'malinois', 'shetland sheepdog', 'collie', 'german shepherd dog']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.179,0.82,0.005,0.499,232,1332
bouvier des flandres dog,18,"['newfoundland dog', 'standard poodle', 'scottish deerhound', 'yorkshire terrier', 'shih tzu']","[0.18, 0.08, 0.06, 0.06, 0.04]",1.2621071358631286,0.26,0.277,0.26,0.001,0.268,233,62
rottweiler,8,"['dobermann', 'treeing walker coonhound', 'flat coated retriever', 'australian kelpie', 'greater swiss mountain dog']","[0.22, 0.02, 0.02, 0.02, 0.02]",1.4999999999999991,0.64,0.254,0.64,0.003,0.447,234,963
german shepherd dog,7,"['malinois', 'black stork', 'schipperke', 'collie', 'dobermann']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8200000000000001,0.261,0.82,0.003,0.54,235,508
dobermann,11,"['rottweiler', 'vizsla', 'german shorthaired pointer', 'oil filter', 'tusker']","[0.12, 0.06, 0.04, 0.04, 0.02]",1.0179522960269585,0.5999999999999999,0.192,0.6,0.003,0.396,236,613
miniature pinscher,14,"['dobermann', 'rottweiler', 'mexican hairless dog xoloitzcuintli', 'oil filter', 'basenji']","[0.36, 0.1, 0.06, 0.06, 0.04]",1.4044656672822828,0.2,0.385,0.2,0.001,0.292,237,71
greater swiss mountain dog,13,"['entlebucher sennenhund', 'rottweiler', 'dobermann', 'bernese mountain dog', 'german shorthaired pointer']","[0.32, 0.16, 0.1, 0.1, 0.04]",0.945458178782938,0.1,0.217,0.1,0.0,0.158,238,77
bernese mountain dog,4,"['border collie', 'king charles spaniel', 'greater swiss mountain dog', 'entlebucher sennenhund']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.1547005383792512,0.8799999999999999,0.53,0.88,0.002,0.705,239,192
appenzeller sennenhund,5,"['entlebucher sennenhund', 'bernese mountain dog', 'greater swiss mountain dog', 'dobermann', 'beagle']","[0.4400000000000001, 0.2799999999999999, 0.16, 0.04, 0.02]",0.4555915370386521,0.06,0.176,0.06,0.0,0.118,240,50
entlebucher sennenhund,7,"['appenzeller sennenhund', 'greater swiss mountain dog', 'border collie', 'beagle', 'dobermann']","[0.1599999999999999, 0.0999999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",0.6170311182532744,0.5399999999999999,0.365,0.54,0.001,0.452,241,75
boxer,7,"['pug', 'boston terrier', 'rhodesian ridgeback', 'german shorthaired pointer', 'french bulldog']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.7800000000000001,0.22,0.78,0.004,0.5,242,954
bullmastiff,11,"['boxer', 'pug', 'labrador retriever', 'french bulldog', 'rhodesian ridgeback']","[0.44, 0.1, 0.06, 0.04, 0.02]",1.395933077053701,0.22,0.786,0.22,0.0,0.503,243,79
tibetan mastiff,8,"['newfoundland dog', 'rottweiler', 'border collie', 'bernese mountain dog', 'german shepherd dog']","[0.4799999999999999, 0.18, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.2067570954125422,0.0999999999999999,0.556,0.1,0.0,0.328,244,28
french bulldog,7,"['pug', 'boston terrier', 'german shorthaired pointer', 'groenendael dog', 'boxer']","[0.1, 0.08, 0.02, 0.02, 0.02]",0.5071295169770311,0.7200000000000001,0.468,0.72,0.002,0.594,245,546
great dane,18,"['boxer', 'labrador retriever', 'dalmatian', 'golden retriever', 'dobermann']","[0.1399999999999999, 0.08, 0.08, 0.06, 0.06]",1.1642636431747186,0.32,0.219,0.32,0.001,0.27,246,497
st  bernard,11,"['border collie', 'king charles spaniel', 'welsh springer spaniel', 'cocker spaniel', 'boxer']","[0.2, 0.08, 0.04, 0.04, 0.04]",1.290994448735805,0.4599999999999999,0.793,0.46,0.001,0.626,247,45
husky,7,"['alaskan malamute', 'samoyed', 'dog sled', 'labrador retriever', 'shetland sheepdog']","[0.1, 0.06, 0.04, 0.02, 0.02]",0.7301958930821588,0.7200000000000001,0.2,0.72,0.004,0.46,248,390
alaskan malamute,7,"['husky', 'border collie', 'siamese cat', 'australian kelpie', 'collie']","[0.5, 0.06, 0.04, 0.02, 0.02]",1.4766335554153307,0.32,0.533,0.32,0.001,0.426,249,94
siberian husky,9,"['husky', 'alaskan malamute', 'german shepherd dog', 'golden retriever', 'wallaby']","[0.7200000000000001, 0.08, 0.06, 0.04, 0.02]",1.4792715867335136,0.0,0.0,0.0,0.0,0.0,250,0
dalmatian,2,"['great dane', 'hook']","[0.04, 0.02]",1.030425744730223e-15,0.94,0.81,0.94,0.001,0.875,251,369
affenpinscher,12,"['bouvier des flandres dog', 'newfoundland dog', 'scottish terrier', 'yorkshire terrier', 'cairn terrier']","[0.16, 0.16, 0.06, 0.04, 0.04]",0.3586005830903786,0.38,0.452,0.38,0.001,0.416,252,68
basenji,10,"['toy terrier', 'dingo', 'boston terrier', 'entlebucher sennenhund', 'oil filter']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.64,0.381,0.64,0.002,0.51,253,336
pug,4,"['french bulldog', 'boston terrier', 'boxer', 'oil filter']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.8164965809277263,0.84,0.56,0.84,0.002,0.7,254,1361
leonberger,12,"['newfoundland dog', 'german shepherd dog', 'keeshond', 'malinois', 'collie']","[0.18, 0.1399999999999999, 0.1399999999999999, 0.08, 0.06]",-0.1141088661469059,0.18,0.9,0.18,0.0,0.54,255,20
newfoundland dog,14,"['border collie', 'oil filter', 'flat coated retriever', 'cocker spaniel', 'saharan horned viper']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.6,0.132,0.6,0.005,0.366,256,369
great pyrenees dog,12,"['kuvasz', 'golden retriever', 'labrador retriever', 'newfoundland dog', 'husky']","[0.16, 0.1399999999999999, 0.12, 0.08, 0.06]",-0.1579875514375962,0.2799999999999999,0.368,0.28,0.001,0.324,257,164
samoyed,6,"['pomeranian', 'arctic fox', 'polar bear', 'newfoundland dog', 'alaskan tundra wolf']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.8200000000000001,0.672,0.82,0.001,0.746,258,89
pomeranian,11,"['golden retriever', 'chow chow', 'mexican hairless dog xoloitzcuintli', 'pekingese', 'shih tzu']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7200000000000001,0.571,0.72,0.001,0.646,259,136
chow chow,10,"['pomeranian', 'golden retriever', 'clumber spaniel', 'cocker spaniel', 'border collie']","[0.18, 0.08, 0.02, 0.02, 0.02]",1.0736207227160048,0.58,0.744,0.58,0.001,0.662,260,77
keeshond,17,"['norwegian elkhound', 'german shepherd dog', 'german shorthaired pointer', 'groenendael dog', 'husky']","[0.1199999999999999, 0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.507129516977032,0.3999999999999999,0.588,0.4,0.001,0.494,261,37
brussels griffon,21,"['boxer', 'german shepherd dog', 'border terrier', 'newfoundland dog', 'oil filter']","[0.1399999999999999, 0.12, 0.1, 0.08, 0.08]",0.3631734744194284,0.0,0.0,0.0,0.0,0.0,262,68
pembroke welsh corgi,18,"['cardigan welsh corgi', 'golden retriever', 'husky', 'basenji', 'cocker spaniel']","[0.16, 0.08, 0.08, 0.06, 0.04]",1.001323728445919,0.26,0.619,0.26,0.0,0.44,263,143
cardigan welsh corgi,12,"['border collie', 'pembroke welsh corgi', 'basenji', 'husky', 'boston terrier']","[0.2199999999999999, 0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999]",0.9293262751691936,0.2599999999999999,0.464,0.26,0.001,0.362,264,137
toy poodle,18,"['shih tzu', 'standard poodle', 'teddy bear', 'soft coated wheaten terrier', 'cocker spaniel']","[0.1399999999999999, 0.1, 0.1, 0.08, 0.08]",0.912870929175274,0.2,0.233,0.2,0.001,0.217,265,89
miniature poodle,21,"['toy poodle', 'standard poodle', 'soft coated wheaten terrier', 'golden retriever', 'maltese']","[0.2799999999999999, 0.12, 0.06, 0.06, 0.04]",1.1922642117936406,0.02,0.2,0.02,0.0,0.11,266,81
standard poodle,12,"['newfoundland dog', 'cocker spaniel', 'toy poodle', 'hen', 'irish water spaniel']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.5800000000000001,0.315,0.58,0.002,0.448,267,219
mexican hairless dog xoloitzcuintli,16,"['dobermann', 'french bulldog', 'german shorthaired pointer', 'oil filter', 'miniature pinscher']","[0.26, 0.1399999999999999, 0.08, 0.08, 0.06]",1.0684669529890454,0.08,0.068,0.08,0.001,0.074,268,251
grey wolf,11,"['red wolf or maned wolf', 'alaskan tundra wolf', 'coyote', 'german shepherd dog', 'hyena']","[0.18, 0.12, 0.06, 0.04, 0.04]",0.7001217104245259,0.4400000000000001,0.667,0.44,0.001,0.554,269,243
alaskan tundra wolf,11,"['husky', 'samoyed', 'arctic fox', 'polar bear', 'golden retriever']","[0.1, 0.04, 0.04, 0.04, 0.02]",1.1731251294063554,0.64,0.542,0.64,0.001,0.591,270,178
red wolf or maned wolf,18,"['dhole', 'red fox', 'grey wolf', 'coyote', 'kit fox']","[0.18, 0.12, 0.06, 0.06, 0.06]",0.8437499999999996,0.18,0.214,0.18,0.001,0.197,271,228
coyote,13,"['red wolf or maned wolf', 'grey wolf', 'grey fox', 'alaskan tundra wolf', 'dingo']","[0.2, 0.1, 0.1, 0.04, 0.04]",0.7723882110026337,0.34,0.5,0.34,0.001,0.42,272,267
dingo,18,"['wallaby', 'red wolf or maned wolf', 'golden retriever', 'lion', 'kit fox']","[0.08, 0.08, 0.06, 0.06, 0.04]",-0.3436215967445463,0.4,0.37,0.4,0.001,0.385,273,158
dhole,15,"['dingo', 'red fox', 'wallaby', 'cougar', 'golden retriever']","[0.1399999999999999, 0.1399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",0.347679447572393,0.42,0.382,0.42,0.001,0.401,274,206
african wild dog,5,"['hyena', 'wallaby', 'german shorthaired pointer', 'malinois', 'giant panda']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.896,0.86,0.001,0.878,275,129
hyena,9,"['african wild dog', 'dingo', 'pig', 'wild boar', 'warthog']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.7799999999999998,0.75,0.78,0.001,0.765,276,182
red fox,12,"['dhole', 'kit fox', 'red wolf or maned wolf', 'wallaby', 'german shorthaired pointer']","[0.2999999999999999, 0.1999999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",0.592171915071069,0.2599999999999999,0.265,0.26,0.001,0.262,277,364
kit fox,12,"['red fox', 'dhole', 'grey fox', 'wallaby', 'husky']","[0.3400000000000001, 0.1, 0.06, 0.04, 0.02]",1.31742021473433,0.3,0.385,0.3,0.001,0.342,278,202
arctic fox,13,"['alaskan tundra wolf', 'husky', 'samoyed', 'polar bear', 'oil filter']","[0.18, 0.1399999999999999, 0.1399999999999999, 0.06, 0.06]",-0.1111111111111095,0.2,0.714,0.2,0.0,0.457,279,64
grey fox,9,"['kit fox', 'wallaby', 'red wolf or maned wolf', 'red fox', 'coyote']","[0.1199999999999999, 0.0799999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999]",0.8675276172357084,0.4999999999999999,0.694,0.5,0.001,0.597,280,147
tabby cat,7,"['siamese cat', 'lynx', 'hook', 'oil filter', 'bouvier des flandres dog']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999]",-0.2715454178836389,0.6999999999999998,0.361,0.7,0.002,0.53,281,168
tiger cat,11,"['tabby cat', 'tiger', 'lynx', 'golden retriever', 'hook']","[0.4599999999999999, 0.22, 0.08, 0.04, 0.04]",0.9789569578656864,0.0,0.0,0.0,0.0,0.0,282,0
persian cat,15,"['siamese cat', 'hook', 'tabby cat', 'border collie', 'pomeranian']","[0.5000000000000001, 0.12, 0.08, 0.04, 0.04]",1.3954856926005348,0.0,0.0,0.0,0.0,0.0,283,0
siamese cat,1,['tabby cat'],[0.02],0.0,0.98,0.336,0.98,0.003,0.658,284,1058
egyptian mau,17,"['tabby cat', 'siamese cat', 'oil filter', 'lynx', 'cheetah']","[0.36, 0.2, 0.1, 0.04, 0.04]",0.7934151711577602,0.0,0.0,0.0,0.0,0.0,285,0
cougar,11,"['lion', 'oil filter', 'siamese cat', 'lynx', 'tailed frog']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",-0.3436215967445467,0.6599999999999999,0.733,0.66,0.001,0.696,286,593
lynx,11,"['tabby cat', 'cougar', 'leopard', 'snow leopard', 'fox squirrel']","[0.1, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.62,0.633,0.62,0.001,0.626,287,387
leopard,2,"['cheetah', 'snow leopard']","[0.26, 0.1]",7.11345045367739e-16,0.64,0.395,0.64,0.002,0.518,288,774
snow leopard,4,"['american alligator', 'tabby cat', 'tiger', 'cheetah']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.807,0.92,0.001,0.864,289,226
jaguar,5,"['leopard', 'snow leopard', 'cheetah', 'oil filter', 'howler monkey']","[0.7799999999999999, 0.08, 0.08, 0.04, 0.02]",1.4760068079309785,0.0,0.0,0.0,0.0,0.0,290,56
lion,6,"['cougar', 'tiger', 'german shorthaired pointer', 'bighorn sheep', 'white headed capuchin']","[0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.4082482904638635,0.8399999999999999,0.667,0.84,0.001,0.754,291,1300
tiger,2,"['leopard', 'oil filter']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.727,0.96,0.001,0.843,292,1177
cheetah,3,"['leopard', 'hyena', 'oil filter']","[0.06, 0.02, 0.02]",0.7071067811865476,0.8999999999999999,0.652,0.9,0.001,0.776,293,640
brown bear,5,"['cocker spaniel', 'american black bear', 'rhinoceros beetle', 'bison', 'oil filter']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.446,0.9,0.002,0.673,294,530
american black bear,6,"['brown bear', 'sloth bear', 'wombat', 'sea lion', 'gorilla']","[0.1, 0.08, 0.02, 0.02, 0.02]",0.5071295169770311,0.74,0.521,0.74,0.001,0.631,295,338
polar bear,5,"['oil filter', 'husky', 'brown bear', 'bison', 'umbrella']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.8599999999999999,0.566,0.86,0.002,0.713,296,574
sloth bear,13,"['american black bear', 'brown bear', 'scottish deerhound', 'chesapeake bay retriever', 'bernese mountain dog']","[0.3, 0.06, 0.02, 0.02, 0.02]",1.4286267334338285,0.4200000000000001,0.808,0.42,0.001,0.614,297,94
mongoose,22,"['meerkat', 'weasel', 'ring tailed lemur', 'hook', 'american robin']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.42,0.389,0.42,0.001,0.404,298,409
meerkat,6,"['mongoose', 'oil filter', 'shih tzu', 'brown bear', 'three toed sloth']","[0.38, 0.04, 0.02, 0.02, 0.02]",1.4890947815302156,0.5,0.806,0.5,0.001,0.653,299,350
tiger beetle,8,"['ground beetle', 'longhorn beetle', 'fly', 'leaf beetle', 'ant']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.6200000000000001,0.816,0.62,0.001,0.718,300,43
ladybug,4,"['leaf beetle', 'bee', 'ant', 'oil filter']","[0.12, 0.02, 0.02, 0.02]",1.1547005383792512,0.8199999999999998,0.506,0.82,0.002,0.663,301,648
ground beetle,13,"['dung beetle', 'ant', 'cockroach', 'tiger beetle', 'fly']","[0.1399999999999999, 0.08, 0.08, 0.06, 0.06]",1.1642636431747186,0.34,0.586,0.34,0.001,0.463,302,89
longhorn beetle,16,"['grasshopper', 'bee', 'weevil', 'ant', 'oil filter']","[0.1199999999999999, 0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0799999999999999]",0.8437499999999981,0.2199999999999999,0.407,0.22,0.001,0.314,303,100
leaf beetle,12,"['ladybug', 'alligator lizard', 'sidewinder rattlesnake', 'snail', 'tiger beetle']","[0.2799999999999999, 0.02, 0.02, 0.02, 0.02]",1.499999999999999,0.5,0.556,0.5,0.001,0.528,304,138
dung beetle,17,"['ant', 'ground beetle', 'amphibious vehicle', 'oil filter', 'earth star fungus']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.5,0.625,0.5,0.001,0.562,305,107
rhinoceros beetle,8,"['oil filter', 'dung beetle', 'ground beetle', 'tick', 'american lobster']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.7200000000000001,0.692,0.72,0.001,0.706,306,115
weevil,12,"['tick', 'fly', 'leafhopper', 'tree frog', 'carolina anole']","[0.06, 0.06, 0.06, 0.02, 0.02]",-0.4082482904638634,0.64,0.696,0.64,0.001,0.668,307,144
fly,6,"['bee', 'dragonfly', 'rhinoceros beetle', 'ant', 'cicada']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.150049335661531,0.7999999999999998,0.506,0.8,0.002,0.653,308,491
bee,7,"['honeycomb', 'oil filter', 'tick', 'spiny lobster', 'ladybug']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.7999999999999998,0.43,0.8,0.002,0.615,309,3688
ant,12,"['tick', 'oil filter', 'hermit crab', 'leaf beetle', 'fly']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7200000000000001,0.293,0.72,0.002,0.506,310,473
grasshopper,9,"['cricket insect', 'ant', 'praying mantis', 'cliff', 'green iguana']","[0.32, 0.04, 0.04, 0.04, 0.02]",1.4823920963083284,0.4599999999999999,0.221,0.46,0.002,0.34,311,366
cricket insect,14,"['grasshopper', 'ant', 'cockroach', 'garter snake', 'saharan horned viper']","[0.3399999999999999, 0.0799999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",1.3635661327611226,0.2999999999999999,0.405,0.3,0.001,0.353,312,156
stick insect,22,"['praying mantis', 'grasshopper', 'dragonfly', 'carolina anole', 'ant']","[0.2, 0.16, 0.12, 0.08, 0.06]",0.2056922717557255,0.0,0.0,0.0,0.0,0.0,313,168
cockroach,20,"['oil filter', 'ant', 'centipede', 'fiddler crab', 'leaf beetle']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.42,0.525,0.42,0.001,0.473,314,116
praying mantis,15,"['grasshopper', 'carolina anole', 'oil filter', 'goldfish', 'chameleon']","[0.18, 0.04, 0.04, 0.02, 0.02]",1.4191014536126718,0.5,0.532,0.5,0.001,0.516,315,296
cicada,19,"['fly', 'cockroach', 'tick', 'dung beetle', 'bee']","[0.18, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.4286267334338287,0.3399999999999999,0.85,0.34,0.0,0.595,316,40
leafhopper,11,"['praying mantis', 'goldfish', 'saharan horned viper', 'isopod', 'ground beetle']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.7599999999999999,0.623,0.76,0.001,0.692,317,148
lacewing,18,"['grasshopper', 'leafhopper', 'dragonfly', 'ant', 'oil filter']","[0.2199999999999999, 0.2199999999999999, 0.1399999999999999, 0.0599999999999999, 0.0599999999999999]",-8.120624681127674e-16,0.0,0.0,0.0,0.0,0.0,318,0
dragonfly,6,"['damselfly', 'fly', 'bee', 'ant', 'oil filter']","[0.2, 0.02, 0.02, 0.02, 0.02]",1.5000000000000002,0.7,0.407,0.7,0.002,0.554,319,1581
damselfly,4,"['dragonfly', 'fly', 'leafhopper', 'daisy']","[0.06, 0.02, 0.02, 0.02]",1.1547005383792517,0.88,0.759,0.88,0.001,0.82,320,383
red admiral butterfly,12,"['airplane wing', 'bee', 'monarch butterfly', 'ladybug', 'longhorn beetle']","[0.4599999999999999, 0.1, 0.1, 0.08, 0.06]",1.4632860942818222,0.0,0.0,0.0,0.0,0.0,321,220
ringlet butterfly,7,"['gossamer winged butterfly', 'cardoon', 'bee', 'grasshopper', 'small white butterfly']","[0.0799999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.5929270612815712,0.7599999999999999,0.717,0.76,0.001,0.738,322,41
monarch butterfly,1,['oil filter'],[0.04],0.0,0.96,0.814,0.96,0.001,0.887,323,455
small white butterfly,3,"['gossamer winged butterfly', 'airplane wing', 'cardoon']","[0.02, 0.02, 0.02]",0.0,0.94,0.627,0.94,0.002,0.784,324,181
sulphur butterfly,13,"['small white butterfly', 'oil filter', 'bee', 'ringlet butterfly', 'airplane wing']","[0.52, 0.12, 0.06, 0.06, 0.04]",1.4222868665276276,0.0,0.0,0.0,0.0,0.0,325,0
gossamer winged butterfly,11,"['ringlet butterfly', 'leaf beetle', 'fly', 'leafhopper', 'banded gecko']","[0.12, 0.04, 0.04, 0.04, 0.02]",1.304047329369509,0.62,0.795,0.62,0.001,0.708,326,57
starfish,7,"['coral reef', 'hermit crab', 'pig', 'backpack', 'jeans']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.84,0.467,0.84,0.002,0.654,327,522
sea urchin,10,"['sea anemone', 'oil filter', 'coral reef', 'brain coral', 'hermit crab']","[0.12, 0.08, 0.04, 0.02, 0.02]",0.6122692078855394,0.62,0.795,0.62,0.001,0.708,328,143
sea cucumber,21,"['oil filter', 'coral reef', 'centipede', 'sea anemone', 'sea slug']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.38,0.543,0.38,0.001,0.462,329,91
cottontail rabbit,8,"['hare', 'loggerhead sea turtle', 'norwegian elkhound', 'cocker spaniel', 'coyote']","[0.3, 0.02, 0.02, 0.02, 0.02]",1.4999999999999998,0.5599999999999999,0.609,0.56,0.001,0.584,330,384
hare,5,"['cottontail rabbit', 'oil filter', 'german shorthaired pointer', 'fox squirrel', 'mushroom']","[0.2799999999999999, 0.04, 0.02, 0.02, 0.02]",1.4791014495985362,0.62,0.554,0.62,0.001,0.587,331,418
angora rabbit,13,"['guinea pig', 'hamster', 'siamese cat', 'mousetrap', 'shih tzu']","[0.1599999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.1701586322559538,0.3999999999999999,0.87,0.4,0.0,0.635,332,56
hamster,3,"['guinea pig', 'yorkshire terrier', 'baboon']","[0.2199999999999999, 0.0199999999999999, 0.0199999999999999]",0.7071067811865477,0.7399999999999999,0.457,0.74,0.002,0.598,333,630
porcupine,7,"['oil filter', 'brown bear', 'echidna', 'beaver', 'three toed sloth']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.7200000000000002,0.545,0.72,0.001,0.633,334,480
fox squirrel,9,"['marmot', 'groenendael dog', 'husky', 'tiger', 'mongoose']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.7999999999999998,0.656,0.8,0.001,0.728,335,361
marmot,10,"['beaver', 'otter', 'nile crocodile', 'wombat', 'brown bear']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7600000000000002,0.731,0.76,0.001,0.746,336,247
beaver,10,"['otter', 'marmot', 'brown bear', 'porcupine', 'wombat']","[0.26, 0.12, 0.1, 0.06, 0.04]",1.0228381632575263,0.3,0.429,0.3,0.001,0.364,337,113
guinea pig,11,"['hamster', 'beaver', 'computer mouse', 'oil filter', 'wombat']","[0.12, 0.04, 0.04, 0.04, 0.02]",1.304047329369509,0.6200000000000001,0.525,0.62,0.001,0.572,338,220
common sorrel horse,18,"['oil filter', 'split rail fence', 'cowboy hat', 'muzzle', 'ox']","[0.2799999999999999, 0.1199999999999999, 0.0999999999999999, 0.0999999999999999, 0.0799999999999999]",1.388908743857885,0.0,0.0,0.0,0.0,0.0,339,71
zebra,1,['oil filter'],[0.04],0.0,0.96,0.906,0.96,0.001,0.933,340,744
pig,14,"['wild boar', 'oil filter', 'brown bear', 'yorkshire terrier', 'golden retriever']","[0.24, 0.1, 0.04, 0.02, 0.02]",1.1029293035190202,0.4,0.303,0.4,0.001,0.352,341,1543
wild boar,11,"['coyote', 'brown bear', 'pig', 'warthog', 'bison']","[0.04, 0.04, 0.04, 0.04, 0.04]",0.0,0.66,0.485,0.66,0.001,0.572,342,211
warthog,6,"['wild boar', 'pig', 'water buffalo', 'komodo dragon', 'hippopotamus']","[0.2799999999999999, 0.04, 0.04, 0.02, 0.02]",1.470320908308182,0.58,0.806,0.58,0.001,0.693,343,170
hippopotamus,4,"['oil filter', 'tusker', 'macaw', 'swimming cap']","[0.06, 0.04, 0.02, 0.02]",0.4933822002181591,0.86,0.705,0.86,0.001,0.782,344,504
ox,16,"['oil filter', 'water buffalo', 'bullock cart', 'pig', 'bison']","[0.12, 0.1, 0.1, 0.06, 0.06]",-0.1111111111111122,0.2999999999999999,0.375,0.3,0.001,0.338,345,262
water buffalo,11,"['ox', 'pig', 'hippopotamus', 'bison', 'nile crocodile']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",0.2715454178836398,0.6399999999999999,0.681,0.64,0.001,0.661,346,227
bison,7,"['water buffalo', 'dobermann', 'brown bear', 'american black bear', 'pig']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.84,0.656,0.84,0.001,0.748,347,363
ram adult male sheep,15,"['bighorn sheep', 'oil filter', 'llama', 'pig', 'border collie']","[0.5999999999999999, 0.08, 0.06, 0.04, 0.02]",1.469350632493334,0.0,0.0,0.0,0.0,0.0,348,54
bighorn sheep,2,"['oil filter', 'ostrich']","[0.0999999999999999, 0.0199999999999999]",1.873501354054943e-16,0.8799999999999999,0.396,0.88,0.002,0.638,349,295
alpine ibex,15,"['bighorn sheep', 'oil filter', 'impala antelope', 'gazelle', 'sea lion']","[0.5, 0.12, 0.06, 0.06, 0.04]",1.4152871533054618,0.0,0.0,0.0,0.0,0.0,350,0
hartebeest,9,"['impala antelope', 'gazelle', 'bullmastiff', 'irish setter', 'warthog']","[0.1, 0.1, 0.04, 0.02, 0.02]",0.2961528510345608,0.64,0.821,0.64,0.001,0.73,351,73
impala antelope,8,"['gazelle', 'hartebeest', 'lion', 'pig', 'bighorn sheep']","[0.2, 0.06, 0.02, 0.02, 0.02]",1.3323469675936743,0.6200000000000002,0.508,0.62,0.001,0.564,352,232
gazelle,8,"['impala antelope', 'oil filter', 'crane bird', 'sea lion', 'husky']","[0.2799999999999999, 0.06, 0.02, 0.02, 0.02]",1.4174662558762552,0.54,0.562,0.54,0.001,0.551,353,188
arabian camel,6,"['llama', 'oil filter', 'tusker', 'weimaraner', 'german shorthaired pointer']","[0.06, 0.06, 0.02, 0.02, 0.02]",0.4082482904638627,0.8,0.755,0.8,0.001,0.778,354,407
llama,10,"['wallaby', 'oil filter', 'chain link fence', 'muzzle', 'tailed frog']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",-0.3436215967445467,0.6799999999999999,0.5,0.68,0.001,0.59,355,374
