classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
dingo,12,"['spotlight', 'dhole', 'duck', 'bloodhound', 'redbone coonhound']","[0.2999999999999999, 0.08, 0.02, 0.02, 0.02]",1.3435047268380678,0.42,0.139,0.42,0.003,0.279,273,273,1300
dhole,10,"['dingo', 'spotlight', 'chesapeake bay retriever', 'leonberger', 'lion']","[0.2799999999999999, 0.1, 0.04, 0.02, 0.02]",1.206198488437356,0.4400000000000001,0.163,0.44,0.003,0.302,274,274,1300
african wild dog,11,"['wild boar', 'spotlight', 'border terrier', 'english setter', 'leonberger']","[0.06, 0.06, 0.02, 0.02, 0.02]",0.4082482904638627,0.7,0.593,0.7,0.001,0.646,275,275,1300
hyena,26,"['african wild dog', 'spotlight', 'leonberger', 'vulture', 'bustard']","[0.1999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.283211900342913,0.1599999999999999,0.471,0.16,0.0,0.316,276,276,1300
red fox,17,"['dhole', 'dingo', 'wire fox terrier', 'teddy bear', 'coucal']","[0.5199999999999999, 0.1199999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.3844018667994051,0.0199999999999999,0.333,0.02,0.0,0.177,277,277,1300
kit fox,17,"['dhole', 'dingo', 'wallaby', 'cottontail rabbit', 'weasel']","[0.44, 0.18, 0.04, 0.04, 0.04]",1.1197636769651038,0.0,0.0,0.0,0.0,0.0,278,278,1300
arctic fox,18,"['spotlight', 'alaskan tundra wolf', 'kuvasz', 'samoyed', 'keeshond']","[0.12, 0.08, 0.06, 0.04, 0.04]",0.7301958930821596,0.36,0.857,0.36,0.0,0.608,279,279,1300
grey fox,20,"['dingo', 'wallaby', 'spotlight', 'red wolf or maned wolf', 'alaskan tundra wolf']","[0.24, 0.12, 0.08, 0.06, 0.04]",1.0318052964821576,0.1399999999999999,0.538,0.14,0.0,0.339,280,280,1300
tabby cat,13,"['mitten', 'spotlight', 'cardboard box  carton', 'egyptian mau', 'schipperke']","[0.36, 0.1399999999999999, 0.08, 0.06, 0.02]",1.1383750751369814,0.18,0.375,0.18,0.0,0.277,281,281,1300
tiger cat,20,"['mitten', 'tabby cat', 'spotlight', 'velvet fabric', 'tiger']","[0.36, 0.12, 0.12, 0.06, 0.04]",1.2137355749654264,0.0,0.0,0.0,0.0,0.0,282,282,1300
persian cat,12,"['mitten', 'spotlight', 'velvet fabric', 'leonberger', 'toy poodle']","[0.1399999999999999, 0.1, 0.08, 0.04, 0.04]",0.351364184463151,0.44,0.579,0.44,0.001,0.509,283,283,1300
siamese cat,10,"['spotlight', 'mitten', 'cardboard box  carton', 'velvet fabric', 'egyptian mau']","[0.38, 0.1399999999999999, 0.08, 0.08, 0.06]",1.3243362500851177,0.1399999999999999,1.0,0.14,0.0,0.57,284,284,1300
egyptian mau,19,"['mitten', 'spotlight', 'tabby cat', 'velvet fabric', 'cardboard box  carton']","[0.2199999999999999, 0.1199999999999999, 0.0999999999999999, 0.0799999999999999, 0.0599999999999999]",1.0391889223704165,0.0599999999999999,0.103,0.06,0.001,0.081,285,285,1300
cougar,24,"['mitten', 'spotlight', 'lion', 'dough', 'wallaby']","[0.08, 0.08, 0.06, 0.06, 0.04]",-0.3436215967445463,0.2,0.417,0.2,0.0,0.308,286,286,1300
lynx,26,"['mitten', 'tabby cat', 'cougar', 'wallaby', 'dhole']","[0.2, 0.06, 0.06, 0.04, 0.04]",1.4191014536126714,0.18,0.409,0.18,0.0,0.294,287,287,1300
leopard,10,"['cheetah', 'jaguar', 'monitor', 'ruffed grouse', 'sulphur crested cockatoo']","[0.26, 0.1, 0.04, 0.02, 0.02]",1.1599428800778278,0.4600000000000001,0.622,0.46,0.001,0.541,288,288,1300
snow leopard,14,"['cardboard box  carton', 'mitten', 'velvet fabric', 'hen of the woods mushroom', 'lynx']","[0.08, 0.06, 0.06, 0.04, 0.02]",-0.2715454178836395,0.5599999999999999,0.848,0.56,0.001,0.704,289,289,1300
jaguar,15,"['leopard', 'cheetah', 'spotlight', 'american dipper', 'nile crocodile']","[0.18, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.4191014536126716,0.4999999999999999,0.806,0.5,0.001,0.653,290,290,1300
lion,14,"['leonberger', 'arabian camel', 'chesapeake bay retriever', 'spotlight', 'sussex spaniel']","[0.1, 0.06, 0.04, 0.04, 0.02]",0.7500308204401289,0.5599999999999999,0.394,0.56,0.001,0.477,291,291,1300
tiger,25,"['tiger cat', 'egyptian mau', 'lion', 'chiton', 'leopard']","[0.2, 0.06, 0.06, 0.04, 0.04]",1.4191014536126714,0.16,0.615,0.16,0.0,0.388,292,292,1300
cheetah,12,"['hyena', 'leopard', 'duck', 'coyote', 'lynx']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7200000000000001,0.655,0.72,0.001,0.688,293,293,1300
brown bear,23,"['chesapeake bay retriever', 'otterhound', 'mitten', 'spotlight', 'tibetan mastiff']","[0.12, 0.1, 0.06, 0.06, 0.04]",0.3477670622469937,0.24,0.48,0.24,0.001,0.36,294,294,1300
american black bear,22,"['groenendael dog', 'tibetan mastiff', 'newfoundland dog', 'sloth bear', 'curly coated retriever']","[0.1399999999999999, 0.06, 0.06, 0.06, 0.04]",1.304047329369508,0.2799999999999999,0.368,0.28,0.001,0.324,295,295,1300
polar bear,23,"['spotlight', 'kuvasz', 'dugong', 'cardboard box  carton', 'otterhound']","[0.18, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.00388034885497,0.1999999999999999,0.833,0.2,0.0,0.516,296,296,1300
sloth bear,23,"['groenendael dog', 'leonberger', 'curly coated retriever', 'newfoundland dog', 'american black bear']","[0.3199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",1.4791014495985375,0.0199999999999999,0.012,0.02,0.002,0.016,297,297,1300
mongoose,24,"['newt', 'wild boar', 'alpine ibex', 'stinkhorn mushroom', 'ruffed grouse']","[0.1, 0.06, 0.06, 0.06, 0.04]",0.8675276172357085,0.18,0.273,0.18,0.001,0.226,298,298,1300
meerkat,23,"['mongoose', 'marmot', 'mitten', 'cardboard box  carton', 'spotlight']","[0.1, 0.1, 0.06, 0.04, 0.04]",0.2115471544831131,0.2799999999999999,0.7,0.28,0.0,0.49,299,299,1300
tiger beetle,23,"['cricket insect', 'stick insect', 'cicada', 'rock beauty fish', 'southern black widow']","[0.1, 0.06, 0.06, 0.06, 0.04]",0.8675276172357085,0.26,0.812,0.26,0.0,0.536,300,300,1300
ladybug,17,"['rose hip', 'european garden spider', 'scarf', 'ring necked snake', 'hornbill']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.58,0.744,0.58,0.001,0.662,301,301,1300
ground beetle,20,"['longhorn beetle', 'cockroach', 'tick', 'ant', 'cicada']","[0.1599999999999999, 0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0799999999999999]",1.2909944487358054,0.0399999999999999,0.667,0.04,0.0,0.354,302,302,1300
longhorn beetle,30,"['bee', 'cricket insect', 'cicada', 'wolf spider', 'weevil']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.16,0.186,0.16,0.001,0.173,303,303,1300
leaf beetle,17,"['leafhopper', 'ladybug', 'rose hip', 'lacewing', 'horse chestnut seed']","[0.1399999999999999, 0.12, 0.12, 0.1, 0.08]",-0.2715454178836424,0.12,0.667,0.12,0.0,0.394,304,304,1300
dung beetle,27,"['earth star fungus', 'ant', 'mitten', 'shoji screen  room divider', 'shovel']","[0.2799999999999999, 0.04, 0.04, 0.04, 0.04]",1.5000000000000004,0.12,0.429,0.12,0.0,0.274,305,305,1300
rhinoceros beetle,29,"['earth star fungus', 'dung beetle', 'muzzle', 'harvestman', 'fiddler crab']","[0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.9128709291752763,0.18,0.818,0.18,0.0,0.499,306,306,1300
