classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
tench,18,"['snoek fish', 'shoji screen  room divider', 'silver salmon', 'poke bonnet', 'eel']","[0.4, 0.1399999999999999, 0.06, 0.06, 0.04]",1.2794361106727552,0.0,0.0,0.0,0.0,0.0,0,0,1300
goldfish,17,"['jellyfish', 'soup bowl', 'mountain', 'conch', 'rock beauty fish']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.42,0.5,0.42,0.001,0.46,1,1,1300
great white shark,22,"['hammerhead shark', 'grey whale', 'tiger shark', 'sturgeon', 'cardboard box  carton']","[0.2799999999999999, 0.12, 0.06, 0.06, 0.04]",1.1922642117936406,0.06,0.6,0.06,0.0,0.33,2,2,1300
tiger shark,16,"['hammerhead shark', 'sturgeon', 'dugong', 'stingray', 'jellyfish']","[0.4, 0.16, 0.08, 0.04, 0.04]",1.15243891442068,0.04,0.4,0.04,0.0,0.22,3,3,1300
hammerhead shark,16,"['sturgeon', 'electric ray', 'redbone coonhound', 'plastic bag', 'spotlight']","[0.16, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.4599999999999999,0.299,0.46,0.002,0.38,4,4,1300
electric ray,24,"['sea cucumber', 'chiton', 'pufferfish', 'stingray', 'petri dish']","[0.12, 0.1, 0.08, 0.06, 0.06]",0.3631734744194293,0.12,0.074,0.12,0.002,0.097,5,5,1300
stingray,16,"['snorkel', 'electric ray', 'dugong', 'sturgeon', 'gar fish']","[0.2, 0.18, 0.06, 0.06, 0.04]",0.3982054806555846,0.18,0.265,0.18,0.001,0.222,6,6,1300
rooster,10,"['hen', 'prairie grouse', 'australian kelpie', 'barn', 'drumstick']","[0.18, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999998,0.6399999999999999,0.18,0.64,0.004,0.41,7,7,1300
hen,18,"['rooster', 'hen of the woods mushroom', 'ruffed grouse', 'conch', 'common gallinule']","[0.2199999999999999, 0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.2143286722953988,0.36,0.4,0.36,0.001,0.38,8,8,1300
ostrich,19,"['vulture', 'shoji screen  room divider', 'hen', 'wolf spider', 'black grouse']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.5599999999999999,0.538,0.56,0.001,0.549,9,9,1300
brambling,17,"['american dipper', 'coucal', 'junco', 'cardboard box  carton', 'indigo bunting']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.54,0.73,0.54,0.001,0.635,10,10,1300
goldfinch,16,"['bulbul', 'sulphur crested cockatoo', 'brambling', 'sulphur butterfly', 'american dipper']","[0.2399999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.3889087438578838,0.2999999999999999,0.938,0.3,0.0,0.619,11,11,1300
house finch,17,"['american dipper', 'coucal', 'rooster', 'indigo bunting', 'bulbul']","[0.1199999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.3799999999999999,0.864,0.38,0.0,0.622,12,12,1300
junco,11,"['american dipper', 'bulbul', 'american robin', 'brambling', 'coucal']","[0.18, 0.1399999999999999, 0.12, 0.06, 0.04]",-0.0252482701133387,0.32,0.485,0.32,0.001,0.402,13,13,1300
indigo bunting,19,"['bulbul', 'junco', 'jacamar', 'bald eagle', 'coucal']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.54,0.818,0.54,0.001,0.679,14,14,1300
american robin,14,"['bulbul', 'american dipper', 'coucal', 'duck', 'crate']","[0.12, 0.12, 0.1, 0.04, 0.04]",-0.2961528510345613,0.4000000000000001,0.5,0.4,0.001,0.45,15,15,1300
bulbul,9,"['coucal', 'american dipper', 'bald eagle', 'jacamar', 'junco']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.02]",1.1701586322559543,0.62,0.254,0.62,0.002,0.437,16,16,1300
jay,11,"['bulbul', 'duck', 'junco', 'coucal', 'bustard']","[0.34, 0.1, 0.04, 0.04, 0.04]",1.3627927530355548,0.32,0.889,0.32,0.0,0.604,17,17,1300
magpie,19,"['american dipper', 'coucal', 'duck', 'bulbul', 'bald eagle']","[0.22, 0.08, 0.06, 0.04, 0.04]",1.3285921177013444,0.22,0.733,0.22,0.0,0.476,18,18,1300
chickadee,16,"['bulbul', 'junco', 'brambling', 'american robin', 'jay']","[0.2799999999999999, 0.18, 0.02, 0.02, 0.02]",0.6597248872630243,0.26,1.0,0.26,0.0,0.63,19,19,1300
american dipper,13,"['duck', 'sturgeon', 'bulbul', 'magpie', 'platypus']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.6600000000000001,0.162,0.66,0.004,0.411,20,20,1300
kite bird of prey,20,"['vulture', 'bald eagle', 'rooster', 'duck', 'crane bird']","[0.26, 0.18, 0.1, 0.08, 0.04]",0.5174257545975758,0.02,0.026,0.02,0.001,0.023,21,21,1300
bald eagle,9,"['vulture', 'rooster', 'coucal', 'hornbill', 'duck']","[0.12, 0.04, 0.04, 0.04, 0.02]",1.304047329369509,0.66,0.493,0.66,0.001,0.576,22,22,1300
vulture,19,"['airplane wing', 'duck', 'bald eagle', 'rooster', 'ostrich']","[0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3631734744194298,0.3799999999999999,0.181,0.38,0.002,0.28,23,23,1300
great grey owl,12,"['coucal', 'crane bird', 'balaclava ski mask', 'velvet fabric', 'bald eagle']","[0.08, 0.04, 0.04, 0.04, 0.02]",0.8675276172357083,0.64,0.865,0.64,0.001,0.752,24,24,1300
fire salamander,14,"['smooth newt', 'spotted salamander', 'longhorn beetle', 'newt', 'banded gecko']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.6,0.75,0.6,0.001,0.675,25,25,1300
smooth newt,31,"['eel', 'newt', 'sea snake', 'flatworm', 'snoek fish']","[0.1399999999999999, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.12,0.154,0.12,0.001,0.137,26,26,1300
newt,21,"['smooth newt', 'diaper', 'ocarina', 'earth star fungus', 'hen of the woods mushroom']","[0.16, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.36,0.073,0.36,0.005,0.216,27,27,1300
spotted salamander,32,"['flatworm', 'diaper', 'axolotl', 'earth star fungus', 'fire salamander']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",-0.3436215967445467,0.2399999999999999,0.75,0.24,0.0,0.495,28,28,1300
axolotl,29,"['snoek fish', 'sturgeon', 'drumstick', 'tray', 'burrito']","[0.1399999999999999, 0.1, 0.06, 0.06, 0.06]",0.8437499999999978,0.06,0.111,0.06,0.001,0.085,29,29,1300
american bullfrog,20,"['eel', 'newt', 'smooth newt', 'american dipper', 'tailed frog']","[0.2199999999999999, 0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999]",0.9620295363245658,0.0999999999999999,0.5,0.1,0.0,0.3,30,30,1300
tree frog,18,"['newt', 'smooth newt', 'american bullfrog', 'praying mantis', 'leafhopper']","[0.2, 0.08, 0.08, 0.06, 0.06]",1.3933319214743292,0.16,0.8,0.16,0.0,0.48,31,31,1300
tailed frog,27,"['newt', 'eel', 'smooth newt', 'earth star fungus', 'fire salamander']","[0.2, 0.1, 0.06, 0.06, 0.04]",1.1140963830468873,0.0,0.0,0.0,0.0,0.0,32,32,1300
loggerhead sea turtle,21,"['leatherback sea turtle', 'snorkel', 'chiton', 'duck', 'gar fish']","[0.1399999999999999, 0.1, 0.08, 0.06, 0.06]",0.7301958930821578,0.16,0.5,0.16,0.0,0.33,33,33,1300
leatherback sea turtle,27,"['chiton', 'mountain', 'sandbar', 'sea snake', 'grey whale']","[0.1, 0.1, 0.08, 0.06, 0.06]",-9.697399036122157e-16,0.04,0.091,0.04,0.0,0.066,34,34,1300
mud turtle,24,"['chiton', 'newt', 'box turtle', 'earth star fungus', 'eel']","[0.22, 0.08, 0.06, 0.06, 0.04]",1.3608927294433224,0.1399999999999999,0.583,0.14,0.0,0.362,35,35,1300
terrapin,23,"['chiton', 'box turtle', 'loggerhead sea turtle', 'american alligator', 'newt']","[0.2, 0.1, 0.06, 0.06, 0.04]",1.1140963830468873,0.04,0.222,0.04,0.0,0.131,36,36,1300
box turtle,23,"['chiton', 'terrapin', 'loggerhead sea turtle', 'mud turtle', 'hen of the woods mushroom']","[0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.5929270612815708,0.18,0.529,0.18,0.0,0.355,37,37,1300
banded gecko,31,"['hen of the woods mushroom', 'flatworm', 'newt', 'saharan horned viper', 'gyromitra']","[0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.84375,0.0,0.0,0.0,0.0,0.0,38,38,1300
green iguana,23,"['komodo dragon', 'frilled necked lizard', 'newt', 'nile crocodile', 'eel']","[0.22, 0.12, 0.04, 0.04, 0.04]",0.9442193396379166,0.18,0.818,0.18,0.0,0.499,39,39,1300
carolina anole,22,"['newt', 'vine snake', 'common sorrel horse', 'praying mantis', 'green mamba']","[0.22, 0.08, 0.08, 0.06, 0.04]",1.2939423257140452,0.12,0.261,0.12,0.0,0.19,40,40,1300
desert grassland whiptail lizard,30,"['saharan horned viper', 'sidewinder rattlesnake', 'earth star fungus', 'night snake', 'eel']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.18,0.474,0.18,0.0,0.327,41,41,1300
agama,23,"['newt', 'gila monster', 'sidewinder rattlesnake', 'rock beauty fish', 'hook']","[0.24, 0.06, 0.06, 0.06, 0.06]",1.5000000000000002,0.08,0.667,0.08,0.0,0.374,42,42,1300
frilled necked lizard,23,"['newt', 'earth star fungus', 'rock beauty fish', 'american dipper', 'komodo dragon']","[0.42, 0.0999999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.371298975279155,0.0399999999999999,0.133,0.04,0.0,0.087,43,43,1117
alligator lizard,38,"['chiton', 'indian cobra', 'hatchet', 'newt', 'worm snake']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.0,0.0,0.0,0.0,0.0,44,44,1300
gila monster,32,"['sea cucumber', 'earth star fungus', 'hen of the woods mushroom', 'chiton', 'saharan horned viper']","[0.0799999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999]",-0.843750000000001,0.0399999999999999,0.167,0.04,0.0,0.104,45,45,1300
european green lizard,31,"['newt', 'vine snake', 'carolina anole', 'american dipper', 'praying mantis']","[0.1399999999999999, 0.1, 0.08, 0.04, 0.04]",0.351364184463151,0.06,0.5,0.06,0.0,0.28,46,46,1300
chameleon,24,"['carolina anole', 'newt', 'house finch', 'agama', 'frilled necked lizard']","[0.1399999999999999, 0.08, 0.04, 0.04, 0.04]",1.026999605698155,0.22,0.786,0.22,0.0,0.503,47,47,1300
komodo dragon,19,"['newt', 'duck', 'eel', 'gar fish', 'triceratops']","[0.34, 0.1, 0.04, 0.04, 0.02]",1.324336250085117,0.18,0.273,0.18,0.001,0.226,48,48,1300
nile crocodile,26,"['american alligator', 'duck', 'silver salmon', 'cliff', 'black grouse']","[0.1, 0.06, 0.04, 0.04, 0.02]",0.7500308204401289,0.32,0.41,0.32,0.001,0.365,49,49,1300
american alligator,28,"['nile crocodile', 'komodo dragon', 'sturgeon', 'newt', 'duck']","[0.2, 0.06, 0.06, 0.04, 0.04]",1.4191014536126714,0.08,0.267,0.08,0.0,0.174,50,50,1300
triceratops,29,"['shoji screen  room divider', 'newt', 'altar', 'dining table', 'spotlight']","[0.1399999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.3627927530355544,0.18,0.333,0.18,0.001,0.256,51,51,1266
worm snake,25,"['earth star fungus', 'sea snake', 'hook', 'conch', 'eel']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.24,0.364,0.24,0.001,0.302,52,52,1300
ring necked snake,29,"['eel', 'redbone coonhound', 'worm snake', 'night snake', 'nematode']","[0.16, 0.06, 0.04, 0.04, 0.04]",1.4035141563500906,0.12,0.375,0.12,0.0,0.248,53,53,1300
eastern hog nosed snake,29,"['eel', 'sea snake', 'saharan horned viper', 'earth star fungus', 'hen of the woods mushroom']","[0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.343621596744546,0.0199999999999999,0.333,0.02,0.0,0.177,54,54,1300
smooth green snake,17,"['vine snake', 'green mamba', 'jackfruit', 'eel', 'stinkhorn mushroom']","[0.2199999999999999, 0.1999999999999999, 0.0999999999999999, 0.0799999999999999, 0.0399999999999999]",0.1972794182031479,0.1199999999999999,0.429,0.12,0.0,0.274,55,55,1300
kingsnake,24,"['sea snake', 'saharan horned viper', 'worm snake', 'handkerchief', 'banded gecko']","[0.18, 0.08, 0.06, 0.06, 0.04]",1.2621071358631286,0.12,1.0,0.12,0.0,0.56,56,56,1300
garter snake,25,"['eel', 'worm snake', 'vine snake', 'night snake', 'sea snake']","[0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.343621596744546,0.0599999999999999,0.75,0.06,0.0,0.405,57,57,1300
water snake,32,"['earth star fungus', 'duck', 'chiton', 'eel', 'sturgeon']","[0.08, 0.06, 0.06, 0.06, 0.06]",1.4999999999999991,0.02,0.1,0.02,0.0,0.06,58,58,1300
vine snake,31,"['smooth green snake', 'green mamba', 'newt', 'sulphur crested cockatoo', 'indri']","[0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4082482904638625,0.1199999999999999,0.111,0.12,0.001,0.115,59,59,1300
night snake,23,"['sidewinder rattlesnake', 'chiton', 'earth star fungus', 'eel', 'necklace']","[0.0999999999999999, 0.0999999999999999, 0.0999999999999999, 0.0799999999999999, 0.0599999999999999]",-0.8437500000000014,0.0799999999999999,0.129,0.08,0.001,0.105,60,60,1300
boa constrictor,28,"['earth star fungus', 'newt', 'sidewinder rattlesnake', 'komodo dragon', 'vine snake']","[0.08, 0.06, 0.06, 0.04, 0.04]",0.3436215967445477,0.1,0.312,0.1,0.0,0.206,61,61,1300
african rock python,32,"['night snake', 'boa constrictor', 'cliff', 'hen of the woods mushroom', 'indian cobra']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",-0.3436215967445452,0.0,0.0,0.0,0.0,0.0,62,62,1071
indian cobra,26,"['saharan horned viper', 'night snake', 'sea snake', 'conch', 'eel']","[0.18, 0.12, 0.06, 0.06, 0.06]",0.8437499999999996,0.02,0.053,0.02,0.0,0.036,63,63,1300
green mamba,17,"['vine snake', 'newt', 'smooth green snake', 'worm snake', 'eel']","[0.24, 0.1, 0.1, 0.06, 0.06]",1.2352635360105004,0.18,0.3,0.18,0.001,0.24,64,64,1300
sea snake,22,"['sea cucumber', 'chiton', 'stingray', 'jellyfish', 'sea slug']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.04]",1.3627927530355548,0.26,0.13,0.26,0.002,0.195,65,65,1300
saharan horned viper,17,"['sidewinder rattlesnake', 'earth star fungus', 'chiton', 'drumstick', 'dough']","[0.1399999999999999, 0.1199999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3900528774186515,0.3199999999999999,0.195,0.32,0.002,0.258,66,66,1300
eastern diamondback rattlesnake,32,"['saharan horned viper', 'american dipper', 'sea snake', 'sidewinder rattlesnake', 'eel']","[0.1199999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",1.5,0.0599999999999999,0.5,0.06,0.0,0.28,67,67,1300
sidewinder rattlesnake,16,"['saharan horned viper', 'rock beauty fish', 'earth star fungus', 'hen of the woods mushroom', 'newt']","[0.44, 0.06, 0.04, 0.04, 0.02]",1.4767587767403174,0.18,0.2,0.18,0.001,0.19,68,68,1300
trilobite,20,"['chiton', 'sea cucumber', 'product packet  packaging', 'armadillo', 'dough']","[0.4000000000000001, 0.06, 0.06, 0.04, 0.04]",1.4847778049677431,0.08,0.167,0.08,0.0,0.124,69,69,1300
harvestman,24,"['stick insect', 'horse chestnut seed', 'ringlet butterfly', 'praying mantis', 'dragonfly']","[0.18, 0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0399999999999999]",0.4082482904638642,0.0999999999999999,0.089,0.1,0.001,0.094,70,70,1300
scorpion,28,"['isopod', 'earth star fungus', 'cradle', 'barn spider', 'chiton']","[0.18, 0.1, 0.08, 0.04, 0.04]",0.8163607336646126,0.04,0.333,0.04,0.0,0.186,71,71,1300
yellow garden spider,14,"['european garden spider', 'harvestman', 'barn spider', 'longhorn beetle', 'sulphur butterfly']","[0.2, 0.08, 0.08, 0.08, 0.04]",1.1731251294063554,0.34,0.586,0.34,0.001,0.463,72,72,1300
barn spider,34,"['harvestman', 'cardboard box  carton', 'european garden spider', 'southern black widow', 'velvet fabric']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.1399999999999999,0.156,0.14,0.001,0.148,73,73,1300
european garden spider,19,"['barn spider', 'yellow garden spider', 'harvestman', 'longhorn beetle', 'rose hip']","[0.26, 0.1399999999999999, 0.08, 0.04, 0.04]",0.8830211951356247,0.16,0.258,0.16,0.001,0.209,74,74,1300
southern black widow,22,"['harvestman', 'cricket insect', 'ant', 'weevil', 'kite bird of prey']","[0.1399999999999999, 0.1, 0.08, 0.04, 0.02]",0.1380231722330905,0.2799999999999999,0.609,0.28,0.0,0.444,75,75,1300
tarantula,21,"['wolf spider', 'redbone coonhound', 'hair clip', 'snorkel', 'harvestman']","[0.04, 0.04, 0.04, 0.04, 0.02]",-1.4999999999999991,0.5,0.676,0.5,0.001,0.588,76,76,1300
wolf spider,23,"['harvestman', 'barn spider', 'isopod', 'cricket insect', 'tarantula']","[0.1399999999999999, 0.12, 0.12, 0.1, 0.04]",-1.01795229602696,0.12,0.333,0.12,0.0,0.226,77,77,1300
tick,28,"['harvestman', 'isopod', 'yellow garden spider', 'jellyfish', 'weevil']","[0.0999999999999999, 0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4082482904638625,0.18,0.333,0.18,0.001,0.256,78,78,1300
centipede,30,"['chiton', 'nematode', 'isopod', 'quill', 'flatworm']","[0.1, 0.08, 0.08, 0.06, 0.04]",-0.2715454178836394,0.1399999999999999,0.412,0.14,0.0,0.276,79,79,1300
black grouse,16,"['vulture', 'rooster', 'ptarmigan', 'american coot', 'american robin']","[0.1599999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999]",0.8978957037987332,0.42,0.339,0.42,0.001,0.38,80,80,1300
ptarmigan,21,"['rooster', 'american dipper', 'duck', 'hen of the woods mushroom', 'ruffed grouse']","[0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",-1.4999999999999991,0.3199999999999999,0.39,0.32,0.001,0.355,81,81,1300
ruffed grouse,17,"['hen of the woods mushroom', 'duck', 'american dipper', 'ptarmigan', 'lynx']","[0.1399999999999999, 0.12, 0.06, 0.06, 0.06]",0.5071295169770309,0.32,0.176,0.32,0.002,0.248,82,82,1300
prairie grouse,14,"['ruffed grouse', 'vulture', 'black grouse', 'african wild dog', 'mongoose']","[0.22, 0.04, 0.04, 0.04, 0.04]",1.5000000000000004,0.44,0.71,0.44,0.001,0.575,83,83,1300
peafowl,25,"['rooster', 'duck', 'australian kelpie', 'coucal', 'feather boa']","[0.1399999999999999, 0.1, 0.06, 0.04, 0.04]",0.6122692078855382,0.12,1.0,0.12,0.0,0.56,84,84,1300
quail,20,"['american dipper', 'ruffed grouse', 'ptarmigan', 'coucal', 'partridge']","[0.2, 0.16, 0.12, 0.06, 0.04]",0.0590599619404687,0.08,0.444,0.08,0.0,0.262,85,85,1300
partridge,22,"['ruffed grouse', 'american dipper', 'prairie grouse', 'duck', 'bulbul']","[0.08, 0.04, 0.04, 0.04, 0.02]",0.8675276172357083,0.44,0.733,0.44,0.001,0.586,86,86,1300
african grey parrot,20,"['rooster', 'ptarmigan', 'cardboard box  carton', 'newt', 'maypole']","[0.1399999999999999, 0.08, 0.06, 0.04, 0.04]",0.9704949588309444,0.2999999999999999,0.938,0.3,0.0,0.619,87,87,1300
macaw,14,"['lorikeet', 'rooster', 'hornbill', 'jacamar', 'plastic bag']","[0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.8675276172357081,0.4799999999999999,0.923,0.48,0.001,0.702,88,88,1300
sulphur crested cockatoo,15,"['rooster', 'duck', 'bald eagle', 'drumstick', 'kite bird of prey']","[0.1999999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.3608927294433226,0.4399999999999999,0.379,0.44,0.001,0.41,89,89,1300
lorikeet,7,"['rooster', 'jacamar', 'house finch', 'newt', 'sulphur crested cockatoo']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.7799999999999999,0.78,0.78,0.001,0.78,90,90,1300
coucal,17,"['duck', 'american dipper', 'bulbul', 'rooster', 'ringlet butterfly']","[0.1, 0.08, 0.06, 0.04, 0.04]",0.3631734744194304,0.42,0.206,0.42,0.002,0.313,91,91,1300
bee eater,10,"['jacamar', 'bulbul', 'indigo bunting', 'magpie', 'bald eagle']","[0.1399999999999999, 0.1, 0.02, 0.02, 0.02]",0.592927061281571,0.6,0.938,0.6,0.001,0.769,92,92,1300
hornbill,24,"['rooster', 'coucal', 'vulture', 'toucan', 'duck']","[0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.84375,0.2399999999999999,0.387,0.24,0.001,0.314,93,93,1300
hummingbird,19,"['jacamar', 'american dipper', 'american robin', 'bulbul', 'duck']","[0.1399999999999999, 0.1199999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.5071295169770311,0.2399999999999999,0.923,0.24,0.0,0.582,94,94,1300
jacamar,6,"['bulbul', 'american dipper', 'coucal', 'brambling', 'lorikeet']","[0.1399999999999999, 0.1399999999999999, 0.04, 0.02, 0.02]",0.3586005830903788,0.62,0.431,0.62,0.001,0.526,95,95,1300
toucan,25,"['sulphur crested cockatoo', 'hornbill', 'silver salmon', 'shoji screen  room divider', 'goldfinch']","[0.04, 0.04, 0.04, 0.04, 0.02]",-1.4999999999999991,0.42,0.808,0.42,0.001,0.614,96,96,1300
duck,16,"['common gallinule', 'american coot', 'american dipper', 'albatross', 'rooster']","[0.12, 0.08, 0.06, 0.06, 0.04]",0.7500308204401281,0.4,0.05,0.4,0.008,0.225,97,97,1300
red breasted merganser,9,"['duck', 'goose', 'american coot', 'american dipper', 'albatross']","[0.5599999999999999, 0.1, 0.08, 0.06, 0.06]",1.4784956549959902,0.06,0.6,0.06,0.0,0.33,98,98,1141
goose,26,"['duck', 'rooster', 'vulture', 'bustard', 'albatross']","[0.1399999999999999, 0.1, 0.04, 0.04, 0.04]",0.6817327184847201,0.2,0.238,0.2,0.001,0.219,99,99,1300
black swan,16,"['duck', 'black grouse', 'american coot', 'common gallinule', 'rooster']","[0.2799999999999999, 0.1399999999999999, 0.06, 0.04, 0.02]",0.9317097417921564,0.24,0.8,0.24,0.0,0.52,100,100,1300
tusker,20,"['asian elephant', 'shoji screen  room divider', 'chesapeake bay retriever', 'water buffalo', 'triceratops']","[0.18, 0.08, 0.06, 0.06, 0.04]",1.2621071358631286,0.22,0.234,0.22,0.001,0.227,101,101,1300
echidna,14,"['quill', 'ruffed grouse', 'hen of the woods mushroom', 'rooster', 'cardoon']","[0.2799999999999999, 0.06, 0.06, 0.04, 0.04]",1.4650029409157856,0.3400000000000001,0.63,0.34,0.001,0.485,102,102,1300
platypus,30,"['sturgeon', 'duck', 'american dipper', 'newt', 'water snake']","[0.18, 0.16, 0.06, 0.04, 0.04]",0.3989370954092972,0.0,0.0,0.0,0.0,0.0,103,103,1272
wallaby,31,"['dingo', 'shoji screen  room divider', 'spotlight', 'wombat', 'alpine ibex']","[0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",-0.4082482904638629,0.18,0.205,0.18,0.001,0.192,104,104,1300
koala,22,"['mitten', 'titi monkey', 'wombat', 'sloth bear', 'gibbon']","[0.2599999999999999, 0.0999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0399999999999999]",1.2502156015096944,0.0,0.0,0.0,0.0,0.0,105,105,1300
wombat,26,"['mitten', 'earth star fungus', 'otterhound', 'wild boar', 'bighorn sheep']","[0.12, 0.08, 0.06, 0.04, 0.04]",0.7301958930821596,0.1399999999999999,0.127,0.14,0.001,0.134,106,106,1300
jellyfish,24,"['planetarium', 'bubble', 'chiton', 'dough', 'goldfish']","[0.12, 0.06, 0.04, 0.04, 0.02]",1.0179522960269585,0.34,0.25,0.34,0.001,0.295,107,107,1300
sea anemone,14,"['sea cucumber', 'coral fungus', 'cardoon', 'jellyfish', 'sea slug']","[0.1399999999999999, 0.0999999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.6122692078855385,0.3799999999999999,0.422,0.38,0.001,0.401,108,108,1300
brain coral,15,"['electric ray', 'sea cucumber', 'pufferfish', 'stingray', 'sea snake']","[0.18, 0.16, 0.06, 0.04, 0.04]",0.3989370954092972,0.3,0.833,0.3,0.0,0.566,109,109,1300
flatworm,15,"['sea slug', 'sea cucumber', 'sea snake', 'isopod', 'electric ray']","[0.48, 0.1399999999999999, 0.08, 0.04, 0.02]",1.2920797615316932,0.04,0.061,0.04,0.001,0.05,110,110,1300
nematode,30,"['petri dish', 'scabbard', 'crt monitor', 'green mamba', 'slug']","[0.1199999999999999, 0.0999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.36317347441943,0.0199999999999999,0.04,0.02,0.001,0.03,111,111,1300
conch,14,"['chiton', 'drumstick', 'earth star fungus', 'axolotl', 'sea cucumber']","[0.12, 0.12, 0.06, 0.04, 0.02]",0.1319482680938165,0.4599999999999999,0.205,0.46,0.002,0.332,112,112,1300
snail,27,"['chiton', 'earth star fungus', 'drumstick', 'acorn', 'bolete']","[0.0999999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.4082482904638634,0.1199999999999999,0.667,0.12,0.0,0.394,113,113,1300
slug,30,"['newt', 'earth star fungus', 'flatworm', 'chiton', 'eel']","[0.1199999999999999, 0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.507129516977032,0.1199999999999999,0.182,0.12,0.001,0.151,114,114,1300
sea slug,18,"['sea cucumber', 'chiton', 'jellyfish', 'pufferfish', 'goldfish']","[0.16, 0.1399999999999999, 0.06, 0.04, 0.02]",0.2931045678480662,0.32,0.219,0.32,0.001,0.27,115,115,1300
chiton,17,"['sea cucumber', 'rock beauty fish', 'american dipper', 'flatworm', 'conch']","[0.1399999999999999, 0.04, 0.02, 0.02, 0.02]",1.4035141563500906,0.52,0.076,0.52,0.007,0.298,116,116,1300
chambered nautilus,17,"['chiton', 'conch', 'sea snake', 'drumstick', 'planetarium']","[0.4000000000000001, 0.06, 0.04, 0.04, 0.04]",1.489094781530214,0.16,0.889,0.16,0.0,0.524,117,117,1300
